systemName;region;route;banner;abbrev;city;root;altRouteNames
deuls;DEU-SN;S1;;;Leipzig;deusn.s01;
deuls;DEU-ST;S2;;;Dessau;deust.s02;
deuls;DEU-SN;S2;;;Leipzig (Dessau);deusn.s02;
deuls;DEU-ST;S2;;Wit;Wittenberg;deust.s02wit;
deuls;DEU-SN;S2;;Wit;Leipzig (Wittenberg);deusn.s02wit;
deuls;DEU-ST;S3;;;Halle;deust.s03;
deuls;DEU-SN;S3;;;Leipzig;deusn.s03;
deuls;DEU-BB;S4;;Fal;Falkenberg;deubb.s04fal;
deuls;DEU-SN;S4;;;Leipzig;deusn.s04;
deuls;DEU-ST;S5;;;Halle;deust.s05;
deuls;DEU-SN;S5;;;Leipzig;deusn.s05;
deuls;DEU-TH;S5;;;Altenburg;deuth.s05;
deuls;DEU-SN;S5;;Zwi;Zwickau;deusn.s05zwi;
deuls;DEU-ST;S5X;;;Halle;deust.s5x;
deuls;DEU-SN;S5X;;;Leipzig;deusn.s5x;
deuls;DEU-TH;S5X;;;Altenburg;deuth.s5x;
deuls;DEU-SN;S5X;;Zwi;Zwickau;deusn.s5xzwi;
deuls;DEU-SN;S6;;;Leipzig;deusn.s06;
deuls;DEU-ST;S6;;;Naumburg;deust.s06;
deuls;DEU-ST;S7;;;Halle;deust.s07;
deuls;DEU-ST;S8;;Hal;Halle (Wittenberg);deust.s08hal;
deuls;DEU-SN;S8;;;Serbitz (Wittenberg);deusn.s08;
deuls;DEU-ST;S8;;;Lutherstadt Wittenberg;deust.s08;
deuls;DEU-ST;S8;;Sal;Halle (Dessau);deust.s08sal;
deuls;DEU-SN;S8;;Des;Serbitz (Dessau);deusn.s08des;
deuls;DEU-ST;S8;;Des;Dessau;deust.s08des;
deuls;DEU-ST;S9;;;Halle;deust.s09;
deuls;DEU-SN;S9;;;Delitzsch;deusn.s09;
deuls;DEU-ST;S11;;;Halle;deust.s11;
