systemName;region;route;banner;abbrev;city;root;altRouteNames
deurbw;DEU-BW;RE1;;;;deubw.re01;
deurbw;DEU-BW;RE2;;;;deubw.re02;
deurbw;CHE;RE3;;Bas;Basel;che.re03bas;
deurbw;DEU-BW;RE3;;Wal;Waldshut;deubw.re03wal;
deurbw;CHE;RE3;;Sch;Schaffhausen;che.re03sch;
deurbw;DEU-BW;RE3;;Sin;Singen;deubw.re03sin;
deurbw;DEU-BW;RE3;;;;deubw.re03;
deurbw;DEU-BY;RE3;;Lin;Lindau;deuby.re03lin;
deurbw;DEU-BW;RE4;;;;deubw.re04;
deurbw;DEU-BW;RE5;;;;deubw.re05;
deurbw;DEU-BW;RE6;;;;deubw.re06;
deurbw;DEU-BW;RE6a;;;;deubw.re06a;
deurbw;DEU-BW;RE6b;;;;deubw.re06b;
deurbw;DEU-BW;RE7;;;;deubw.re07;
deurbw;CHE;RE7;;Bas;Basel;che.re07bas;
deurbw;DEU-BW;RE8;;;;deubw.re08;
deurbw;DEU-BY;RE8;;Wur;Würzburg;deuby.re08wur;
deurbw;DEU-BW;RE10a;;Man;Mannheim;deubw.re10aman;
deurbw;DEU-HE;RE10a;;;;deuhe.re10a;
deurbw;DEU-BW;RE10a;;;Heilbronn;deubw.re10a;
deurbw;DEU-BW;RE10b;;;;deubw.re10b;
deurbw;DEU-BW;RB11;;;;deubw.rb11;
deurbw;DEU-BW;MEX12;;;;deubw.mex12;
deurbw;DEU-BW;MEX13;;;;deubw.mex13;
deurbw;DEU-BW;RE14a;;;;deubw.re14a;
deurbw;DEU-BW;RE14b;;;;deubw.re14b;
deurbw;DEU-BW;MEX16;;;;deubw.mex16;
deurbw;DEU-BW;MEX17a;;;;deubw.mex17a;
deurbw;DEU-BW;MEX17c;;;;deubw.mex17c;
deurbw;DEU-BW;MEX18;;;;deubw.mex18;
deurbw;DEU-BW;MEX19;;;;deubw.mex19;
deurbw;DEU-BW;RB26;;;;deubw.rb26;
deurbw;DEU-BW;RB27;;;;deubw.rb27;
deurbw;CHE;RB27;;;;che.rb27;
deurbw;CHE;RB30;;;;che.rb30;
deurbw;DEU-BW;RB30;;;;deubw.rb30;
deurbw;DEU-BW;RB31;;;;deubw.rb31;
deurbw;DEU-BW;RB32a;;;;deubw.rb32a;
deurbw;DEU-BW;RB37;;;;deubw.rb37;
deurbw;DEU-BW;RE40;;;;deubw.re40;
deurbw;DEU-BW;RB41;;;;deubw.rb41;
deurbw;DEU-BW;RB42;;;;deubw.rb42;
deurbw;DEU-BW;RB42a;;;;deubw.rb42a;
deurbw;DEU-BW;RB43;;;;deubw.rb43;
deurbw;DEU-BW;RB43a;;;;deubw.rb43a;
deurbw;DEU-BW;RB44;;;;deubw.rb44;S71Kar
deurbw;DEU-BW;RE45;;;;deubw.re45;
deurbw;DEU-BW;RB46;;;;deubw.rb46;
deurbw;DEU-BW;RB47;;;;deubw.rb47;
deurbw;DEU-BW;RE50;;;Aalen;deubw.re50;
deurbw;DEU-BY;RE50;;Ulm;Ulm;deuby.re50ulm;
deurbw;DEU-BW;RE50;;Ulm;Ulm;deubw.re50ulm;
deurbw;DEU-BW;RB52;;;;deubw.rb52;
deurbw;DEU-BW;RB53;;;;deubw.rb53;
deurbw;DEU-BW;RB53a;;;;deubw.rb53a;
deurbw;DEU-BW;RB53b;;;;deubw.rb53b;
deurbw;DEU-BW;RB54;;;;deubw.rb54;
deurbw;DEU-BW;RE55;;;;deubw.re55;
deurbw;DEU-BW;RB59;;;;deubw.rb59;
deurbw;DEU-BW;RB61;;;;deubw.rb61;
deurbw;DEU-BW;RB63;;;;deubw.rb63;
deurbw;DEU-BW;RB64;;;;deubw.rb64;
deurbw;DEU-BW;RB65;;;;deubw.rb65;
deurbw;DEU-BW;RB66;;;;deubw.rb66;
deurbw;DEU-BW;RB67;;;Hechingen;deubw.rb67;
deurbw;DEU-BW;RB68;;;Hechingen;deubw.rb68;
deurbw;DEU-BW;RB69;;;Balingen;deubw.rb69;
deurbw;DEU-BW;RE71;;;;deubw.re71;
deurbw;DEU-BW;RB72;;;;deubw.rb72;
deurbw;DEU-BW;RE73;;;;deubw.re73;
deurbw;DEU-BW;RB74;;;;deubw.rb74;
deurbw;DEU-BW;RB79;;;;deubw.rb79;
deurbw;DEU-BW;RE80;;;;deubw.re80;
deurbw;DEU-BW;RB83;;;;deubw.rb83;
deurbw;DEU-BY;RB84;;;;deuby.rb84;
deurbw;DEU-BW;RB84;;;;deubw.rb84;
deurbw;DEU-BW;RB85;;;;deubw.rb85;
deurbw;DEU-BY;RB85;;;;deuby.rb85;
deurbw;DEU-BY;RE87;;;;deuby.re87;
deurbw;DEU-BW;RE87;;;;deubw.re87;
deurbw;DEU-BY;RB88;;;;deuby.rb88;
deurbw;DEU-BW;RB88;;;;deubw.rb88;
deurbw;DEU-BW;MEX90;;;;deubw.mex90;
deurbw;DEU-BW;RE90;;;;deubw.re90;
deurbw;DEU-BY;RE90;;;;deuby.re90;
deurbw;DEU-BW;RB91;;;;deubw.rb91;
deurbw;DEU-BY;RB92;;Mem;Memmingen;deuby.rb92mem;
deurbw;DEU-BW;RB92;;;;deubw.rb92;
deurbw;DEU-BY;RB92;;;Lindau;deuby.rb92;
deurbw;DEU-BW;RB93;;;;deubw.rb93;
deurbw;DEU-BY;RB93;;;;deuby.rb93;
deurbw;DEU-BW;RE200;;;;deubw.re200;
