systemName;region;route;banner;abbrev;city;root;altRouteNames
deurby;DEU-BY;RE1;;;;deuby.re01;
deurby;DEU-BY;RE2;;;;deuby.re02;
deurby;DEU-BY;RE3;;;;deuby.re03;
deurby;DEU-BY;RE5;;;;deuby.re05;
deurby;AUT;RE5;;Sal;;aut.re05sal;
deurby;DEU-BY;RE7;;;Munchen;deuby.re07;
deurby;DEU-TH;RE7;;;;deuth.re07;
deurby;DEU-BY;RE7;;Wur;Wurzberg;deuby.re07wur;
deurby;DEU-BY;RE9;;;;deuby.re09;
deurby;DEU-BW;RE9;;Ulm;;deubw.re09ulm;
deurby;DEU-BY;RE10;;;;deuby.re10;
deurby;DEU-BY;RE14;;;;deuby.re14;
deurby;DEU-TH;RE14;;;;deuth.re14;
deurby;DEU-BY;RE16;;;;deuby.re16;
deurby;DEU-BY;RE17;;;;deuby.re17;
deurby;DEU-BY;RE19;;;;deuby.re19;
deurby;DEU-TH;RE19;;;;deuth.re19;
deurby;DEU-BY;RE20;;;;deuby.re20;
deurby;DEU-BY;RE22;;;;deuby.re22;
deurby;DEU-BY;RE25;;;;deuby.re25;
deurby;DEU-BY;RE28;;;;deuby.re28;
deurby;DEU-TH;RE28;;;;deuth.re28;
deurby;DEU-TH;RE29;;;;deuth.re29;
deurby;DEU-BY;RE29;;;;deuby.re29;
deurby;DEU-BY;RE30;;;;deuby.re30;
deurby;DEU-BY;RE31;;;;deuby.re31;
deurby;DEU-BY;RE32;;;;deuby.re32;
deurby;DEU-BY;RE33;;;;deuby.re33;
deurby;CZE;RE33;;;;cze.re33;
deurby;DEU-BY;RE35;;;;deuby.re35;
deurby;DEU-BY;RE38;;;;deuby.re38;
deurby;DEU-BY;RE40;;;;deuby.re40;
deurby;DEU-BY;RE41;;;;deuby.re41;
deurby;DEU-BY;RE50;;;;deuby.re50;
deurby;DEU-BY;RE57;;;;deuby.re57;
deurby;DEU-BY;RE70;;;;deuby.re70;
deurby;DEU-BY;RE71;;;;deuby.re71;
deurby;DEU-BY;RE72;;;;deuby.re72;
deurby;DEU-BY;RE73;;;;deuby.re73;
