systemName;route;banner;groupName;roots
deurby;RE1;;;deuby.re01
deurby;RE2;;;deuby.re02
deurby;RE3;;;deuby.re03
deurby;RE5;;;deuby.re05,aut.re05sal
deurby;RB6;;;deuby.rb06
deurby;RE7;;Munchen;deuby.re07
deurby;RE7;;Wurzberg;deuth.re07,deuby.re07wur
deurby;RE9;;;deuby.re09,deubw.re09ulm
deurby;RE10;;;deuby.re10
deurby;RB11;;;deuby.rb11
deurby;RB12;;;deuby.rb12
deurby;RB13;;;deuby.rb13
deurby;RE14;;;deuby.re14,deuth.re14
deurby;RB14;;;deuby.rb14
deurby;RB15;;;deuby.rb15
deurby;RE16;;;deuby.re16
deurby;RB16;;;deuby.rb16
deurby;RE17;;;deuby.re17
deurby;RB17;;;deuby.rb17
deurby;RB18;;;deuby.rb18
deurby;RE19;;;deuby.re19,deuth.re19
deurby;RE20;;;deuby.re20
deurby;RB21;;;deuby.rb21
deurby;RE22;;;deuby.re22
deurby;RB22;;;deuby.rb22
deurby;RB23;;;deuby.rb23
deurby;RB24;;;deuby.rb24
deurby;RE25;;;deuby.re25
deurby;RB25;;;deuby.rb25
deurby;RB26;;;deuby.rb26
deurby;RB27;;;deuby.rb27
deurby;RE28;;;deuby.re28
deurby;RB28;;;deuby.rb28
deurby;RB29;;;deuby.rb29
deurby;RE30;;;deuby.re30
deurby;RB30;;;deuby.rb30
deurby;RE31;;;deuby.re31
deurby;RB31;;;deuby.rb31
deurby;RE32;;;deuby.re32
deurby;RB32;;;deuby.rb32
deurby;RE33;;;deuby.re33
deurby;RE33;;;cze.re33,deuby.rb33
deurby;RB34;;;deuby.rb34
deurby;RE35;;;deuby.re35
deurby;RB35;;;deuby.rb35
deurby;RB36;;;deuby.rb36
deurby;RB37;;;deuby.rb37
deurby;RE38;;;deuby.re38
deurby;RB38;;;deuby.rb38
deurby;RE40;;;deuby.re40
deurby;RB40;;Munchen;deuby.rb40
deurby;RB40;;Schweinfurt;deuth.rb40,deuby.rb40sch
deurby;RE41;;;deuby.re41
deurby;RB41;;;deuby.rb41
deurby;RB42;;;deuby.rb42
deurby;RB44;;;deuby.rb44
deurby;RB45;;;deuby.rb45,aut.rb45
deurby;RB46;;;deuby.rb46
deurby;RB47;;;deuby.rb47
deurby;RB48;;;deuby.rb48
deurby;RB49;;;deuby.rb49
deurby;RE50;;;deuby.re50
deurby;RB50;;;deuby.rb50
deurby;RB51;;;deuby.rb51
deurby;RB52;;;deuby.rb52
deurby;RB53;;;deuhe.rb53
deurby;RB53;;Wurzberg;deuby.rb53
deurby;RB53;;Traunstein;deuby.rb53tra
deurby;RB54;;;deuby.rb54,aut.rb54
deurby;RB55;;;deuby.rb55
deurby;RB56;;;deuby.rb56
deurby;RE57;;;deuby.re57
deurby;RB57;;;deuby.rb57
deurby;RB58;;;deuby.rb58
deurby;RB59;;;deuby.rb59
deurby;RB60;;;deuby.rb60,aut.rb60
deurby;RB61;;;deuby.rb61
deurby;RB62;;;deuby.rb62
deurby;RB63;;;deuby.rb63
deurby;RB64;;;deuby.rb64
deurby;RB65;;;deuby.rb65
deurby;RB66;;;deuby.rb66
deurby;RB67;;;deuby.rb67
deurby;RB69;;;deuby.rb69
deurby;RE70;;;deuby.re70
deurby;RE71;;;deuby.re71
deurby;RE72;;;deuby.re72
deurby;RE73;;;deuby.re73
deurby;RB73;;;deuby.rb73
deurby;RB74;;;deuby.rb74
deurby;RE75;;;deuby.re75
deurby;RE76;;;deuby.re76
deurby;RB77;;;deuby.rb77
deurby;RB78;;;deuby.rb78
deurby;RE79;;;deuby.re79
deurby;RE80;;;deuby.re80
deurby;RB81;;;deuby.rb81
deurby;RB82;;;deuby.rb82
deurby;RB86;;;deuby.rb86
deurby;RE89;;;deuby.re89,deubw.re89
deurby;RB89;;;deuby.rb89,deubw.rb89
deurby;RB91;;;deuby.rb91
deurby;RB95;;;deuby.rb95,cze.rb95,deuby.rb95mar
deurby;RE96;;;deuby.re96,deubw.re96,deuby.re96lin
deurby;RB96;;;deuby.rb96
deurby;RB97;;;deuby.rb97
deurby;RB98;;;deuby.rb98
deurby;RB99;;;deuby.rb99
