systemName;region;route;banner;abbrev;city;root;altRouteNames
deurm;DEU-RP;RE1;;;Südwest-Express (Koblenz);deurp.re01;
deurm;DEU-SL;RE1;;;Südwest-Express;deusl.re01;
deurm;DEU-RP;RE1;;Kai;Südwest-Express (Kaiserslautern);deurp.re01kai;
deurm;DEU-BW;RE1;;Man;Südwest-Express;deubw.re01man;
deurm;DEU-HE;RE2;;;Linke Rheinstrecke;deuhe.re02;
deurm;DEU-RP;RE2;;;Linke Rheinstrecke;deurp.re02;
deurm;DEU-HE;RE3;;;Nahe-Express;deuhe.re03;
deurm;DEU-RP;RE3;;;Nahe-Express;deurp.re03;
deurm;DEU-SL;RE3;;;Nahe-Express;deusl.re03;
deurm;DEU-HE;RE4;;;Bahnstrecke Mainz–Mannheim;deuhe.re04;
deurm;DEU-RP;RE4;;;Bahnstrecke Mainz–Mannheim;deurp.re04;
deurm;DEU-BW;RE4;;Kar;Bahnstrecke Mainz–Mannheim;deubw.re04kar;
deurm;DEU-HE;RE5;;;;deuhe.re05;
deurm;DEU-RP;RE6;;;Pfälzische Maximiliansbahn;deurp.re06;
deurm;DEU-BW;RE6;;Kar;Pfälzische Maximiliansbahn;deubw.re06kar;
deurm;DEU-HE;RE9;;;Rechte Rheinstrecke;deuhe.re09;
deurm;DEU-SL;RE9;;;Express d’Alsace;deusl.re09;
deurm;FRA-GES;RE9;;;Express d’Alsace;frages.re09;
deurm;DEU-RP;RE11;;;DeLux-Express;deurp.re11;
deurm;LUX;RE11;;;DeLux-Express;lux.re11;
deurm;DEU-RP;RE13;;;Donnersbergbahn;deurp.re13;
deurm;DEU-HE;RE14;;;Bahnstrecke Mainz–Mannheim;deuhe.re14;
deurm;DEU-RP;RE14;;;Bahnstrecke Mainz–Mannheim;deurp.re14;
deurm;DEU-BW;RE14;;Man;Bahnstrecke Mainz–Mannheim;deubw.re14man;
deurm;DEU-RP;RE17;;;;deurp.re17;
deurm;DEU-SL;RE18;;;Express de Lorraine;deusl.re18;
deurm;FRA-GES;RE18;;;Express de Lorraine;frages.re18;
deurm;DEU-HE;RE20;;;Main-Lahn-Bahn;deuhe.re20;
deurm;DEU-HE;RE24;;;Lahntalbahn;deuhe.re24;
deurm;DEU-RP;RE25;;;Lahntal-Express;deurp.re25;
deurm;DEU-HE;RE25;;;Lahntal-Express;deuhe.re25;
deurm;DEU-HE;RE30;;;;deuhe.re30;
deurm;DEU-HE;RE50;;;Kinzigtalbahn;deuhe.re50;
deurm;DEU-HE;RE54;;;;deuhe.re54;
deurm;DEU-BY;RE54;;;;deuby.re54;
deurm;DEU-HE;RE55;;;;deuhe.re55;
deurm;DEU-BY;RE55;;;;deuby.re55;
deurm;DEU-HE;RE56;;;Kahlgrundbahn;deuhe.rb56;
deurm;DEU-BY;RE56;;Alz;Kahlgrundbahn;deuby.rb56alz;
deurm;DEU-HE;RE58;;;Mainbahn;deuhe.rb58;
deurm;DEU-BY;RE58;;Asc;Mainbahn;deuby.rb58asc;
deurm;DEU-HE;RE59;;;Bruhrainbahn;deuhe.re59;
deurm;DEU-HE;RE60;;;Main-Neckar-Bahn;deuhe.re60;
deurm;DEU-BW;RE60;;;Main-Neckar-Bahn;deubw.re60;
deurm;DEU-RP;RB62;;;Riedbahn;deurp.rb62;
deurm;DEU-HE;RE63;;;Nibelungenbahn;deuhe.rb63;
deurm;DEU-HE;RE70;;;;deuhe.re70;
deurm;DEU-BW;RE70;;;Riedbahn;deubw.re70;
deurm;DEU-HE;RE80;;;Odenwaldbahn;deuhe.re80;
deurm;DEU-HE;RE85;;;Odenwaldbahn;deuhe.re85;
deurm;DEU-HE;RE97;;;Lahn-Sauerland-Express;deuhe.re97;
deurm;DEU-NW;RE97;;;Lahn-Sauerland-Express;deunw.re97;
deurm;DEU-HE;RE98;;;Main-Weser-Express;deuhe.re98;
deurm;DEU-HE;RE99;;;Main-Sieg-Express;deuhe.re99;
deurm;DEU-NW;RE99;;;Main-Sieg-Express;deunw.re99;
deurm;DEU-HE;RB4;;;;deuhe.rb04;
deurm;DEU-HE;RB5;;;;deuhe.rb05;
deurm;DEU-HE;RB10;;;RheingauLinie;deuhe.rb10;
