systemName;route;banner;groupName;roots
deurm;RE1;;Südwest-Express;deurp.re01,deusl.re01,deurp.re01kai,deubw.re01man
deurm;RE2;;Linke Rheinstrecke;deuhe.re02,deurp.re02
deurm;RE3;;Nahe-Express;deuhe.re03,deurp.re03,deusl.re03
deurm;RE4;;Bahnstrecke Mainz–Mannheim;deuhe.re04,deurp.re04,deubw.re04kar
deurm;RB4;;;deuhe.rb04
deurm;RE5;;;deuhe.re05
deurm;RB5;;;deuhe.rb05
deurm;RE6;;Pfälzische Maximiliansbahn;deurp.re06,deubw.re06kar
deurm;RE9;;Rechte Rheinstrecke;deuhe.re09
deurm;RE9;;Express d’Alsace;deusl.re09,frages.re09
deurm;RB10;;RheingauLinie;deuhe.rb10,deurp.rb10
deurm;RE11;;DeLux-Express;deurp.re11,lux.re11
deurm;RB12;;Königsteiner Bahn;deuhe.rb12
deurm;RE13;;Donnersbergbahn;deurp.re13
deurm;RE14;;Bahnstrecke Mainz–Mannheim;deuhe.re14,deurp.re14,deubw.re14man
deurm;RB15;;Taunusbahn;deuhe.rb15
deurm;RB16;;Trier-Lorraine-Express;deuhe.rb16
deurm;RE17;;;deurp.re17
deurm;RE18;;Express de Lorraine;deusl.re18,frages.re18
deurm;RE20;;Main-Lahn-Bahn;deuhe.re20
deurm;RB21;;Ländchesbahn;deuhe.rb21
deurm;RB22;;Main-Lahn-Bahn;deuhe.rb22
deurm;RB22;;Eifel-Express;deurp.rb22
deurm;RB23;;Lahn-Eifel-Bahn;deurp.rb23,deuhe.rb23
deurm;RE24;;Lahntalbahn;deuhe.re24
deurm;RE25;;Lahntal-Express;deurp.re25,deuhe.re25
deurm;RB26;;MittelrheinBahn;deunw.rb26,deurp.rb26
deurm;RB29;;Unterwesterwaldbahn;deuhe.rb29lim,deurp.rb29die,deuhe.rb29,deurp.rb29
deurm;RE30;;;deuhe.re30
deurm;RB31;;Donnersbergbahn;deurp.rb31
deurm;RB33;;Nahetalbahn;deurp.rb33
deurm;RB34;;Nahetalbahn;deurp.rb34
deurm;RB34;;Niddertalbahn;deuhe.rb34
deurm;RB35;;Rheinhessenbahn;deurp.rb35
deurm;RB37;;Hunsrückbahn;deurp.rb37
deurm;RB37;;Mittelhessen-Express;deuhe.rb37
deurm;RB38;;Lahn-Eifel-Bahn;deurp.rb38
deurm;RB39;;Ahrtalbahn;deurp.rb39
deurm;RB39;;;deuhe.rb39
deurm;RB40;;Mittelhessen-Express;deuhe.rb40
deurm;RB41;;Mittelhessen-Express;deuhe.rb41
deurm;RB45;;Vogelsbergbahn;deuhe.rb45
deurm;RB45;;Pfälzische Nordbahn;deurp.rb45
deurm;RB46;;Lahn-Kinzig-Bahn;deuhe.rb46
deurm;RB46;;Eistalbahn;deurp.rb46
deurm;RB47;;;deuhe.rb47
deurm;RB48;;;deuhe.rb48
deurm;RB49;;;deuhe.rb49
deurm;RE50;;Kinzigtalbahn;deuhe.re50
deurm;RB51;;Kinzigtalbahn;deuhe.rb51
deurm;RB51;;Karlsruhe;deurp.rb51,deubw.rb51kar
deurm;RB52;;Rhönbahn;deuhe.rb52
