systemName;region;route;banner;abbrev;city;root;altRouteNames
deurn;DEU-NI;RE1;;;Hannover;deuni.re01;
deurn;DEU-HB;RE1;;;;deuhb.re01;
deurn;DEU-NI;RE1;;Emd;Emden;deuni.re01emd;
deurn;DEU-NI;RE2;;;;deuni.re02;
deurn;DEU-HH;RE3;;;;deuhh.re03;
deurn;DEU-NI;RE3;;;;deuni.re03;
deurn;DEU-HH;RE4;;;;deuhh.re04;
deurn;DEU-NI;RE4;;;;deuni.re04;
deurn;DEU-HB;RE4;;;;deuhb.re04;
deurn;DEU-HH;RE5;;;;deuhh.re05;
deurn;DEU-NI;RE5;;;;deuni.re05;
deurn;DEU-HH;RE6;;;;deuhh.re06;
deurn;DEU-SH;RE6;;;;deush.re06;
deurn;DEU-HH;RE7;;;Flensburg portion;deuhh.re07;
deurn;DEU-SH;RE7;;;Flensburg portion;deush.re07;
deurn;DEU-HH;RE7;;Kie;Kiel portion;deuhh.re07kie;
deurn;DEU-SH;RE7;;Kie;Kiel portion;deush.re07kie;
deurn;DEU-HH;RE8;;;;deuhh.re08;
deurn;DEU-SH;RE8;;;;deush.re08;
deurn;DEU-HB;RE8;;Bre;Bremerhaven;deuhb.re08bre;
deurn;DEU-NI;RE8;;Ost;Osterholz-Scharmbeck;deuni.re08ost;
deurn;DEU-HB;RE8;;;Bremen;deuhb.re08;
deurn;DEU-NI;RE8;;;Hannover;deuni.re08;
deurn;DEU-HB;RE9;;Bre;Bremerhaven;deuhb.re09bre;
deurn;DEU-NI;RE9;;Ost;Osterholz-Scharmbeck;deuni.re09ost;
deurn;DEU-HB;RE9;;;Bremen;deuhb.re09;
deurn;DEU-NI;RE9;;;Osnabruck;deuni.re09;
deurn;DEU-NI;RE10;;;;deuni.re10;
deurn;DEU-NW;RE15;;;Emsland-Express;deunw.re15;
deurn;DEU-NI;RE15;;;Emsland-Express;deuni.re15;
deurn;DEU-NI;RE18;;;Oldenburg;deuni.re18;
deurn;DEU-NW;RE18;;Hal;Halen;deunw.re18hal;
deurn;DEU-NI;RE18;;Osn;Osnabruck;deuni.re18osn;
deurn;DEU-NI;RE30;;;;deuni.re30;
deurn;DEU-HH;RB31;;;;deuhh.rb31;
deurn;DEU-NI;RB31;;;;deuni.rb31;
deurn;DEU-NI;RB32;;;;deuni.rb32;
deurn;DEU-NI;RB33;;;Buxtehude;deuni.rb33;
deurn;DEU-HB;RB33;;;;deuhb.rb33;
deurn;DEU-NI;RB33;;Cux;Cuxhaven;deuni.rb33cux;
deurn;DEU-HB;RB37;;;;deuhb.rb37;
deurn;DEU-NI;RB37;;;;deuni.rb37;
deurn;DEU-HH;RB38;;;;deuhh.rb38;
deurn;DEU-NI;RB38;;;;deuni.rb38;
deurn;DEU-HB;RB41;;;;deuhb.rb41;
deurn;DEU-NI;RB41;;;;deuni.rb41;
deurn;DEU-HH;RB41;;;;deuhh.rb41;
deurn;DEU-NI;RB42;;;;deuni.rb42;
deurn;DEU-NI;RB43;;;;deuni.rb43;
deurn;DEU-NI;RB44;;;;deuni.rb44;
deurn;DEU-NI;RB45;;;;deuni.rb45;
deurn;DEU-NI;RB46;;;;deuni.rb46;
deurn;DEU-NI;RB47;;;;deuni.rb47;
deurn;DEU-NI;RB48;;;;deuni.rb48;
deurn;DEU-NI;RE50;;;;deuni.re50;
deurn;DEU-NI;RB56;;;;deuni.rb56;
deurn;DEU-HB;RB58;;;Der Bramscher;deuhb.rb58;
deurn;DEU-NI;RB58;;;Der Bramscher (Vechta);deuni.rb58;
deurn;DEU-NW;RB58;;;Der Bramscher;deunw.rb58;
deurn;DEU-NI;RB58;;Osn;Der Bramscher (Osnabruck);deuni.rb58osn;
deurn;DEU-NI;RB59;;;;deuni.rb59;
deurn;DEU-NI;RE60;;;Ems-Leine-Express (Hannover);deuni.re60;
deurn;DEU-NW;RE60;;;Ems-Leine-Express (Bad Oeynhausen);deunw.re60;
deurn;DEU-NI;RE60;;Osn;Ems-Leine-Express (Osnabruck);deuni.re60osn;
deurn;DEU-NW;RE60;;Rhe;Ems-Leine-Express (Rheine);deunw.re60rhe;
deurn;DEU-HH;RB61;;;;deuhh.rb61;
deurn;DEU-SH;RB61;;;;deush.rb61;
deurn;DEU-NW;RB61;;;Wiehengebirgs-Bahn (Bielefeld);deunw.rb61;
deurn;DEU-NI;RB61;;;Wiehengebirgs-Bahn (Osnabruck);deuni.rb61;
deurn;DEU-NW;RB61;;Rhe;Wiehengebirgs-Bahn (Rheine);deunw.rb61rhe;
