systemName;region;route;banner;abbrev;city;root;altRouteNames
deurno;DEU-ST;RE1;;;;deust.re01;
deurno;DEU-BB;RE1;;Bra;Brandenburg;deubb.re01bra;
deurno;DEU-BE;RE1;;;;deube.re01;
deurno;DEU-BB;RE1;;;Frankfurt;deubb.re01;
deurno;DEU-HH;RE1;;;;deuhh.re01;
deurno;DEU-SH;RE1;;;;deush.re01;
deurno;DEU-MV;RE1;;;;deumv.re01;
deurno;DEU-BB;RE2;;Nau;Nauen;deubb.re02nau;
deurno;DEU-BE;RE2;;;;deube.re02;
deurno;DEU-BB;RE2;;;Cottbus;deubb.re02;
deurno;DEU-MV;RE3;;;;deumv.re03;
deurno;DEU-BB;RE3;;;Prenzlau;deubb.re03;
deurno;DEU-BE;RE3;;;(Stralsund);deube.re03;
deurno;DEU-BB;RE3;;Jut;Juterborg;deubb.re03jut;
deurno;DEU-ST;RE3;;Lut;Lutherstadt Wittenberg;deust.re03lut;
deurno;DEU-BB;RE3;;Sch;Schwedt;deubb.re03sch;
deurno;DEU-BE;RE3;;Sch;(Schwedt);deube.re03sch;
deurno;DEU-BB;RE3;;Lud;Ludwigsfelde;deubb.re03lud;
deurno;DEU-ST;RE4;;;Stendal;deust.re04;
deurno;DEU-BB;RE4;;Rat;Rathenow;deubb.re04rat;
deurno;DEU-BE;RE4;;;;deube.re04;
deurno;DEU-BB;RE4;;;Juterbog;deubb.re04;
deurno;DEU-ST;RE4;;Lin;Linda;deust.re04lin;
deurno;DEU-BB;RE4;;Fal;Falkenberg;deubb.re04fal;
deurno;DEU-SH;RE4;;;Szczecin;deush.re04;
deurno;DEU-MV;RE4;;;Szczecin;deumv.re04;
deurno;POL;RE4;;;Szczecin;pol.re04;
deurno;DEU-SH;RE4;;Uec;Ueckermunde;deush.re04uec;
deurno;DEU-MV;RE4;;Uec;Ueckermunde;deumv.re04uec;
deurno;DEU-BE;RE5;;;(Rostock);deube.re05;
deurno;DEU-BB;RE5;;;(Rostock);deubb.re05;
deurno;DEU-MV;RE5;;;Rostock;deumv.re05;
deurno;DEU-BE;RE5;;Str;(Stralsund);deube.re05str;
deurno;DEU-BB;RE5;;Str;(Stralsund);deubb.re05str;
deurno;DEU-MV;RE5;;Str;Stralsund;deumv.re05str;
deurno;DEU-BE;RE6;;;;deube.re06;
deurno;DEU-BB;RE6;;;;deubb.re06;
deurno;DEU-ST;RE7;;Des;Dessau;deust.re07des;
deurno;DEU-BB;RE7;;Bad;Bad Belzig;deubb.re07bad;
deurno;DEU-BE;RE7;;;;deube.re07;
deurno;DEU-BB;RE7;;;Senftenburg;deubb.re07;
deurno;DEU-MV;RE8;;;;deumv.re08;
deurno;DEU-BB;RE8;;;Wittenberge;deubb.re08;
deurno;DEU-BE;RE8;;;;deube.re08;RE8Els,RE8Fin
deurno;DEU-BB;RE8;;Els;Elsterwerda;deubb.re08els;RE8Fin
deurno;DEU-MV;RE9;;;Sassnitz;deumv.re09;
deurno;DEU-MV;RE9;;Ost;Ostseebad;deumv.re09ost;
deurno;DEU-SN;RE10;;;;deusn.re10;
deurno;DEU-BB;RE10;;;;deubb.re10;
deurno;DEU-MV;RE10;;;;deumv.re10;
deurno;DEU-BB;RB10;;Bla;Blankenfelde;deubb.rb10bla;
deurno;DEU-BE;RB10;;;;deube.rb10;
deurno;DEU-BB;RB10;;;Wustermark;deubb.rb10;
deurno;DEU-SN;RE11;;;Leipzig;deusn.re11;
deurno;DEU-BB;RE11;;;;deubb.re11;
deurno;DEU-SN;RE11;;Hoy;Hoyerswerda;deusn.re11hoy;
deurno;DEU-MV;RB11;;;;deumv.rb11;
deurno;DEU-BE;RB12;;;;deube.rb12;
deurno;DEU-BB;RB12;;;;deubb.rb12;
deurno;DEU-MV;RB12;;;;deumv.rb12;
deurno;DEU-BB;RE13;;;;deubb.re13;
deurno;DEU-MV;RB13;;;;deumv.rb13;
deurno;DEU-BE;RB14;;;;deube.rb14;
deurno;DEU-BB;RB14;;;;deubb.rb14;
deurno;DEU-MV;RB14;;;;deumv.rb14;
deurno;DEU-MV;RB15;;;;deumv.rb15;
deurno;DEU-MV;RB16;;;;deumv.rb16;
deurno;DEU-MV;RB17;;;;deumv.rb17;
deurno;DEU-MV;RB18;;;;deumv.rb18;
deurno;DEU-MV;RB19;;;;deumv.rb19;
deurno;DEU-BE;RE20;;;Berlin;deube.re20;
deurno;DEU-BB;RE20;;Flu;Flughaven BER;deubb.re20flu;
deurno;DEU-BE;RE20;;Boh;Bohnsdorf;deube.re20boh;
deurno;DEU-BB;RE20;;;Cottbus;deubb.re20;
deurno;DEU-BB;RB20;;;;deubb.rb20;
deurno;DEU-BB;RB21;;;;deubb.rb21;
deurno;DEU-BE;RB21;;;;deube.rb21;
