systemName;route;banner;groupName;roots
deurno;RE1;;Berlin;deust.re01,deubb.re01bra,deube.re01,deubb.re01
deurno;RE1;;Hanse-Express;deuhh.re01,deush.re01,deumv.re01
deurno;RE2;;;deubb.re02nau,deube.re02,deubb.re02
deurno;RE3;;Stralsund portion;deumv.re03,deubb.re03,deube.re03,deubb.re03jut,deust.re03lut
deurno;RE3;;Schwedt portion;deubb.re03sch,deube.re03sch,deubb.re03lud
deurno;RE4;;Berlin;deust.re04,deubb.re04rat,deube.re04,deubb.re04,deust.re04lin,deubb.re04fal
deurno;RE4;;Stadttore-Linie (Szczecin portion);deush.re04,deumv.re04,pol.re04
deurno;RE4;;Stadttore-Linie (Ueckermunde portion);deush.re04uec,deumv.re04uec
deurno;RE5;;Rostock portion;deube.re05,deubb.re05,deumv.re05
deurno;RE5;;Stralsund portion;deube.re05str,deubb.re05str,deumv.re05str
deurno;RE6;;;deube.re06,deubb.re06
deurno;RE7;;;deust.re07des,deubb.re07bad,deube.re07,deubb.re07
deurno;RE8;;Berlin (north);deumv.re08,deubb.re08,deube.re08,deubb.re08flu
deurno;RE8;;Berlin (south, Elsterwerda portion);deube.re08els,deubb.re08els
deurno;RE8;;Berlin (south, Finsterwalde portion);deube.re08fin,deubb.re08fin
deurno;RE9;;Sassnitz portion;deumv.re09
deurno;RE9;;Ostseebad portion;deumv.re09ost
deurno;RE10;;Cottbus;deusn.re10,deubb.re10
deurno;RE10;;Stralsund;deumv.re10
deurno;RB10;;;deube.rb10,deubb.rb10
deurno;RE11;;;deusn.re11,deubb.re11,deusn.re11hoy
deurno;RB11;;;deumv.rb11
deurno;RB12;;Berlin;deube.rb12,deubb.rb12
deurno;RB12;;Rostock;deumv.rb12
deurno;RE13;;;deubb.re13
deurno;RB13;;;deumv.rb13
deurno;RB14;;Berlin;deube.rb14,deubb.rb14
deurno;RB14;;Ludwigslust;deumv.rb14
deurno;RB15;;;deumv.rb15
deurno;RB16;;;deumv.rb16
deurno;RB17;;;deumv.rb17
deurno;RB18;;;deumv.rb18
deurno;RB19;;;deumv.rb19
deurno;RB20;;;deubb.rb20
deurno;RB21;;;deubb.rb21,deube.rb21
deurno;RB22;;;deubb.rb22,deube.rb22,deubb.rb22kon
deurno;RB23;;Berlin;deubb.rb23,deube.rb23,deubb.rb23flu
deurno;RB23;;Usedom;deumv.rb23,pol.rb23
deurno;RB24;;Berlin;deubb.rb24,deube.rb24,deubb.rb24sch
deurno;RB24;;Flughafen BER;deubb.rb24flu
deurno;RB24;;Usedom;deumv.rb24
deurno;RB25;;Berlin;deube.rb25,deubb.rb25
deurno;RB25;;Velgast;deumv.rb25
deurno;RB26;;Berlin;deube.rb26,deubb.rb26,pol.rb26
deurno;RB26;;Rugen;deumv.rb26
deurno;RE27;;;deumv.re27
deurno;RB27;;Gross Schonebeck portion;deube.rb27,deubb.rb27
deurno;RB27;;Schmachten;deube.rb27sch,deubb.rb27sch
deurno;RB28;;;deumv.rb28
deurno;RB31;;;deumv.rb31
deurno;RB32;;Berlin;deubb.rb32ora,deube.rb32,deubb.rb32sch
deurno;RB32;;Flughafen BER;deubb.rb32
deurno;RB32;;;deumv.rb32
deurno;RB33;;;deubb.rb33
deurno;RB34;;;deust.rb34,deubb.rb34
deurno;RB35;;;deubb.rb35
deurno;RB36;;;deubb.rb36
deurno;RB37;;;deube.rb37,deubb.rb37
deurno;RB43;;;deubb.rb43
deurno;RB46;;;deubb.rb46
deurno;RB49;;;deubb.rb49
deurno;RE50;;;deumv.re50
deurno;RE51;;;deumv.re51
deurno;RB51;;;deubb.rb51
deurno;RB54;;;deubb.rb54
deurno;RB55;;;deubb.rb55
deurno;RB60;;;deubb.rb60
deurno;RB61;;;deubb.rb61
deurno;RB62;;;deubb.rb62
deurno;RB63;;;deubb.rb63
deurno;RB73;;;deubb.rb73
deurno;RB74;;;deubb.rb74,deumv.rb74
deurno;RE85;;;deube.re85,deubb.re85,deumv.re85
deurno;FEX;;;deube.fex,deubb.fex
deurno;TES;;;deube.tes,deubb.tes
