systemName;region;route;banner;abbrev;city;root;altRouteNames
deurnwr;DEU-NW;RE1;;;NRW-Express;deunw.re01;
deurnwr;DEU-NW;RE2;;;Rhein-Haard-Express (Essen);deunw.re02;
deurnwr;DEU-NI;RE2;;Nat;Rhein-Haard-Express (Natrup-Hagen);deuni.re02nat;
deurnwr;DEU-NW;RE2;;Nat;Rhein-Haard-Express (Natrup-Hagen);deunw.re02nat;
deurnwr;DEU-NI;RE2;;Osn;Rhein-Haard-Express (Osnabruck);deuni.re02osn;
deurnwr;DEU-NW;RE3;;;Rhein-Emscher-Express;deunw.re03;
deurnwr;DEU-NW;RE4;;;Wupper-Express;deunw.re04;
deurnwr;DEU-NW;RE5;;;Rhein-Express;deunw.re05;
deurnwr;DEU-RP;RE5;;;Rhein-Express;deurp.re05;
deurnwr;DEU-NW;RE6;;;Rhein-Weser-Express;deunw.re06;
deurnwr;DEU-NW;RE7;;;Rhein-Münsterland-Express;deunw.re07;
deurnwr;DEU-NW;RE8;;;Rhein-Erft-Express;deunw.re08;
deurnwr;DEU-RP;RE8;;;Rhein-Erft-Express;deurp.re08;
deurnwr;DEU-NW;RE9;;;Rhein-Sieg-Express (Koln);deunw.re09;
deurnwr;DEU-RP;RE9;;Fur;Rhein-Sieg-Express (Furthen);deurp.re09fur;
deurnwr;DEU-NW;RE9;;Opp;Rhein-Sieg-Express (Opperzau);deunw.re09opp;
deurnwr;DEU-RP;RE9;;;Rhein-Sieg-Express (Wissen);deurp.re09;
deurnwr;DEU-NW;RE9;;Sie;Rhein-Sieg-Express (Siegen);deunw.re09sie;
deurnwr;DEU-NW;RE10;;;Niers-Express;deunw.re10;
deurnwr;DEU-NW;RE11;;;Rhein-Hellweg-Express;deunw.re11;
deurnwr;DEU-NW;RE12;;;Eifel-Mosel-Express;deunw.re12;
deurnwr;NLD;RE13;;;Maas-Wupper-Express;nld.re13;
deurnwr;DEU-NW;RE13;;;Maas-Wupper-Express;deunw.re13;
deurnwr;DEU-NW;RE14;;;Emscher-Münsterland-Express (Borken portion);deunw.re14;
deurnwr;DEU-NW;RE14;;Coe;Emscher-Münsterland-Express (Coesfeld portion);deunw.re14;
deurnwr;DEU-NW;RE16;;;Ruhr-Lenne-Express;deunw.re16;
deurnwr;DEU-NW;RE17;;;Sauerland-Express;deunw.re17;
deurnwr;DEU-NW;RE19;;;Rhein-IJssel-Express (Arnhem portion);deunw.re19;
deurnwr;NLD;RE19;;;Rhein-IJssel-Express (Arnhem portion);nld.re19;
deurnwr;DEU-NW;RE19;;Boc;Rhein-IJssel-Express (Bocholt portion);deunw.re19boc;
deurnwr;DEU-NW;RB20;;;euregiobahn;deunw.rb20;
deurnwr;DEU-NW;RB21;;;Rurtalbahn;deunw.rb21;
deurnwr;DEU-NW;RE22;;;Eifel-Express;deunw.re22;
deurnwr;DEU-NW;RB24;;;Eifel-Bahn;deunw.rb24;
deurnwr;DEU-NW;RB25;;;Oberbergische Bahn;deunw.rb25;
deurnwr;DEU-NW;RB26;;;MittelrheinBahn;deunw.rb26;
deurnwr;DEU-RP;RB26;;;MittelrheinBahn;deurp.rb26;
deurnwr;DEU-NW;RB27;;;Rhein-Erft-Bahn;deunw.rb27;
deurnwr;DEU-RP;RB27;;;Rhein-Erft-Bahn;deurp.rb27;
deurnwr;DEU-NW;RB28;;;Eifel-Bördebahn;deunw.rb28;
deurnwr;DEU-NW;RB30;;;Rhein-Ahr-Bahn;deunw.rb30;
deurnwr;DEU-RP;RB30;;;Rhein-Ahr-Bahn;deurp.rb30;
deurnwr;DEU-NW;RB31;;;Der Niederrheiner;deunw.rb31;
deurnwr;DEU-NW;RB32;;;Rhein-Emscher-Bahn;deunw.rb32;
deurnwr;DEU-NW;RB33;;;Rhein-Niers-Bahn (Essen portion);deunw.rb33;
deurnwr;DEU-NW;RB33;;Hei;Rhein-Niers-Bahn (Heinsberg portion);deunw.rb33hei;
deurnwr;DEU-NW;RE34;;;Dortmund-Siegerland-Express;deunw.re34;
deurnwr;DEU-NW;RB34;;;Schwalm-Nette-Bahn;deunw.rb34;
deurnwr;DEU-NW;RB35;;;Emscher-Niederrhein-Bahn;deunw.rb35;
deurnwr;DEU-NW;RB36;;;Ruhrort-Bahn;deunw.rb36;
deurnwr;DEU-NW;RB37;;;Niers-Erft-Bahn;deunw.rb37;
deurnwr;DEU-NW;RB38;;;Erft-Bahn;deunw.rb38;
deurnwr;DEU-NW;RB39;;;Düssel-Erft-Bahn;deunw.rb39;
