systemName;route;banner;groupName;roots
deurnrw;RE1;;NRW-Express;deunw.re01
deurnrw;RE2;;Rhein-Haard-Express;deunw.re02,deuni.re02nat,deunw.re02nat,deuni.re02osn
deurnrw;RE3;;Rhein-Emscher-Express;deunw.re03
deurnrw;RE4;;Wupper-Express;deunw.re04
deurnrw;RE5;;Rhein-Express;deunw.re05
deurnrw;RE5;;Rhein-Express;deurp.re05
deurnrw;RE6;;Rhein-Weser-Express;deunw.re06
deurnrw;RE7;;Rhein-Münsterland-Express;deunw.re07
deurnrw;RE8;;Rhein-Erft-Express;deunw.re08,deurp.re08
deurnrw;RE9;;Rhein-Sieg-Express;deunw.re09,deurp.re09fur,deunw.re09opp,deurp.re09,deunw.re09sie
deurnrw;RE10;;Niers-Express;deunw.re10
deurnrw;RE11;;Rhein-Hellweg-Express;deunw.re11,deuhe.re11
deurnrw;RE12;;Eifel-Mosel-Express;deunw.re12
deurnrw;RE13;;Maas-Wupper-Express;nld.re13,deunw.re13
deurnrw;RE14;;Emscher-Münsterland-Express (Borken portion);deunw.re14
deurnrw;RE14;;Emscher-Münsterland-Express (Coesfeld portion);deunw.re14coe
deurnrw;RE16;;Ruhr-Lenne-Express;deunw.re16
deurnrw;RE17;;Sauerland-Express;deunw.re17
deurnrw;RE19;;Rhein-IJssel-Express (Arnhem portion);deunw.re19,nld.re19
deurnrw;RE19;;Rhein-IJssel-Express (Bocholt portion);deunw.re19boc
deurnrw;RB20;;euregiobahn;deunw.rb20
deurnrw;RB21;;Rurtalbahn;deunw.rb21
deurnrw;RE22;;Eifel-Express;deunw.re22
deurnrw;RB24;;Eifel-Bahn;deunw.rb24
deurnrw;RB25;;Oberbergische Bahn;deunw.rb25
deurnrw;RB27;;Rhein-Erft-Bahn;deunw.rb27,deurp.rb27
deurnrw;RB28;;Eifel-Bördebahn;deunw.rb28
deurnrw;RB30;;Rhein-Ahr-Bahn;deunw.rb30,deurp.rb30
deurnrw;RB31;;Der Niederrheiner;deunw.rb31
deurnrw;RB32;;Rhein-Emscher-Bahn;deunw.rb32
deurnrw;RB33;;Rhein-Niers-Bahn (Essen portion);deunw.rb33
deurnrw;RB33;;Rhein-Niers-Bahn (Heinsberg portion);deunw.rb33hei
deurnrw;RE34;;Dortmund-Siegerland-Express;deunw.re34
deurnrw;RB34;;Schwalm-Nette-Bahn;deunw.rb34
deurnrw;RB35;;Emscher-Niederrhein-Bahn;deunw.rb35
deurnrw;RB36;;Ruhrort-Bahn;deunw.rb36
deurnrw;RB37;;Niers-Erft-Bahn;deunw.rb37
deurnrw;RB38;;Erft-Bahn;deunw.rb38
deurnrw;RB39;;Düssel-Erft-Bahn;deunw.rb39
deurnrw;RB40;;Ruhr-Lenne-Bahn;deunw.rb40
deurnrw;RE41;;Vest-Ruhr-Express;deunw.re41
deurnrw;RE42;;Niers-Haard-Express;deunw.re42
deurnrw;RB43;;Emschertal-Bahn;deunw.rb43
