systemName;region;route;banner;abbrev;city;root;altRouteNames
deurnt;DEU-BW;1;;Man;Mannheim;deubw.01man;
deurnt;DEU-BW;2;;Man;Mannheim;deubw.02man;
deurnt;DEU-BW;3;;Man;Mannheim;deubw.03man;
deurnt;DEU-RP;4;;Lud;Ludwigshafen;deurp.04lud;
deurnt;DEU-BW;4;;Man;Mannheim;deubw.04man;
deurnt;DEU-RP;4A;;Lud;Ludwigshafen;deurp.4alud;
deurnt;DEU-BW;4A;;Man;Mannheim;deubw.4aman;
deurnt;DEU-BW;5;;Man;Mannheim;deubw.05man;
deurnt;DEU-HE;5;;Vie;Viernheim;deuhe.05vie;
deurnt;DEU-BW;5;;Hei;Heidelberg;deubw.05hei;
deurnt;DEU-BW;5A;;Man;Mannheim;deubw.5aman;
deurnt;DEU-RP;6;;Lud;Ludwigshafen;deurp.06lud;
deurnt;DEU-BW;6;;Man;Mannheim;deubw.06man;
deurnt;DEU-RP;6A;;Lud;Ludwigshafen;deurp.6alud;
deurnt;DEU-BW;6A;;Man;Mannheim;deubw.6aman;
deurnt;DEU-RP;7;;Lud;Ludwigshafen;deurp.07lud;
deurnt;DEU-BW;7;;Man;Mannheim;deubw.07man;
deurnt;DEU-RP;8;;Lud;Ludwigshafen;deurp.08lud;
deurnt;DEU-BW;8;;Man;Mannheim;deubw.08man;
deurnt;DEU-RP;9;;Lud;Ludwigshafen;deurp.09lud;
deurnt;DEU-BW;9;;Man;Mannheim;deubw.09man;
deurnt;DEU-RP;10;;Lud;Ludwigshafen;deurp.10lud;
deurnt;DEU-BW;15;;Man;Mannheim;deubw.15man;
deurnt;DEU-BW;21;;Hei;Heidelberg;deubw.21hei;
deurnt;DEU-BW;22;;Hei;Heidelberg;deubw.22hei;
deurnt;DEU-BW;23;;Hei;Heidelberg;deubw.23hei;
deurnt;DEU-BW;24;;Hei;Heidelberg;deubw.24hei;
deurnt;DEU-BW;26;;Hei;Heidelberg;deubw.26hei;
