systemName;route;banner;groupName;roots
deurnt;1;;Mannheim;deubw.01man
deurnt;2;;Mannheim;deubw.02man
deurnt;3;;Mannheim;deubw.03man
deurnt;4;;Rhein-Neckar;deurp.04lud,deubw.04man
deurnt;4A;;Rhein-Neckar;deurp.4alud,deubw.4aman
deurnt;5;;Rhein-Neckar;deubw.05man,deuhe.05vie,deubw.05hei
deurnt;5A;;Mannheim;deubw.5aman
deurnt;6;;Rhein-Neckar;deurp.06lud,deubw.06man
deurnt;6A;;Rhein-Neckar;deurp.6alud,deubw.6aman
deurnt;7;;Rhein-Neckar;deurp.07lud,deubw.07man
deurnt;8;;Rhein-Neckar;deurp.08lud,deubw.08man
deurnt;9;;Rhein-Neckar;deurp.09lud,deubw.09man
deurnt;10;;Ludwigshafen;deurp.10lud
deurnt;15;;Mannheim;deubw.15man
deurnt;21;;Heidelberg;deubw.21hei
deurnt;22;;Heidelberg;deubw.22hei
deurnt;23;;Heidelberg;deubw.23hei
deurnt;24;;Heidelberg;deubw.24hei
deurnt;26;;Heidelberg;deubw.26hei
