systemName;region;route;banner;abbrev;city;root;altRouteNames
deurwnr;DEU-NW;RE1;;;NRW-Express;deunw.re01;
deurwnr;DEU-NW;RE2;;;Rhein-Haard-Express (Essen);deunw.re02;
deurwnr;DEU-NI;RE2;;Nat;Rhein-Haard-Express (Natrup-Hagen);deuni.re02nat;
deurwnr;DEU-NW;RE2;;Nat;Rhein-Haard-Express (Natrup-Hagen);deunw.re02nat;
deurwnr;DEU-NI;RE2;;Osn;Rhein-Haard-Express (Osnabruck);deuni.re02osn;
deurwnr;DEU-NW;RE3;;;Rhein-Emscher-Express;deunw.re03;
deurwnr;DEU-NW;RE4;;;Wupper-Express;deunw.re04;
deurwnr;DEU-NW;RE5;;;Rhein-Express;deunw.re05;
deurwnr;DEU-RP;RE5;;;Rhein-Express;deurp.re05;
deurwnr;DEU-NW;RE6;;;Rhein-Weser-Express;deunw.re06;
deurwnr;DEU-NW;RE7;;;Rhein-Münsterland-Express;deunw.re07;
deurwnr;DEU-NW;RE8;;;Rhein-Erft-Express;deunw.re08;
deurwnr;DEU-RP;RE8;;;Rhein-Erft-Express;deurp.re08;
deurwnr;DEU-NW;RE9;;;Rhein-Sieg-Express (Koln);deunw.re09;
deurwnr;DEU-RP;RE9;;Fur;Rhein-Sieg-Express (Furthen);deurp.re09fur;
deurwnr;DEU-NW;RE9;;Opp;Rhein-Sieg-Express (Opperzau);deunw.re09opp;
deurwnr;DEU-RP;RE9;;;Rhein-Sieg-Express (Wissen);deurp.re09;
deurwnr;DEU-NW;RE9;;Sie;Rhein-Sieg-Express (Siegen);deunw.re09sie;
deurwnr;DEU-NW;RE10;;;Niers-Express;deunw.re10;
deurwnr;DEU-NW;RE11;;;Rhein-Hellweg-Express;deunw.re11;
deurwnr;DEU-NW;RE12;;;Eifel-Mosel-Express;deunw.re12;
deurwnr;NLD;RE13;;;Maas-Wupper-Express;nld.re13;
deurwnr;DEU-NW;RE13;;;Maas-Wupper-Express;deunw.re13;
deurwnr;DEU-NW;RE14;;;Emscher-Münsterland-Express (Borken portion);deunw.re14;
deurwnr;DEU-NW;RE14;;Coe;Emscher-Münsterland-Express (Coesfeld portion);deunw.re14;
deurwnr;DEU-NW;RE16;;;Ruhr-Lenne-Express;deunw.re16;
deurwnr;DEU-NW;RE17;;;Sauerland-Express;deunw.re17;
deurwnr;DEU-NW;RE19;;;Rhein-IJssel-Express (Arnhem portion);deunw.re19;
deurwnr;NLD;RE19;;;Rhein-IJssel-Express (Arnhem portion);nld.re19;
deurwnr;DEU-NW;RE19;;Boc;Rhein-IJssel-Express (Bocholt portion);deunw.re19boc;
deurwnr;DEU-NW;RB20;;;euregiobahn;deunw.rb20;
deurwnr;DEU-NW;RB21;;;Rurtalbahn;deunw.rb21;
deurwnr;DEU-NW;RE22;;;Eifel-Express;deunw.re22;
deurwnr;DEU-NW;RB24;;;Eifel-Bahn;deunw.rb24;
deurwnr;DEU-NW;RB25;;;Oberbergische Bahn;deunw.rb25;
deurwnr;DEU-NW;RB26;;;MittelrheinBahn;deunw.rb26;
deurwnr;DEU-RP;RB26;;;MittelrheinBahn;deurp.rb26;
deurwnr;DEU-NW;RB27;;;Rhein-Erft-Bahn;deunw.rb27;
deurwnr;DEU-RP;RB27;;;Rhein-Erft-Bahn;deurp.rb27;
deurwnr;DEU-NW;RB28;;;Eifel-Bördebahn;deunw.rb28;
deurwnr;DEU-NW;RB30;;;Rhein-Ahr-Bahn;deunw.rb30;
deurwnr;DEU-RP;RB30;;;Rhein-Ahr-Bahn;deurp.rb30;
deurwnr;DEU-NW;RB31;;;Der Niederrheiner;deunw.rb31;
deurwnr;DEU-NW;RB32;;;Rhein-Emscher-Bahn;deunw.rb32;
deurwnr;DEU-NW;RB33;;;Rhein-Niers-Bahn (Essen portion);deunw.rb33;
deurwnr;DEU-NW;RB33;;Hei;Rhein-Niers-Bahn (Heinsberg portion);deunw.rb33hei;
deurwnr;DEU-NW;RE34;;;Dortmund-Siegerland-Express;deunw.re34;
deurwnr;DEU-NW;RB34;;;Schwalm-Nette-Bahn;deunw.rb34;
deurwnr;DEU-NW;RB35;;;Emscher-Niederrhein-Bahn;deunw.rb35;
deurwnr;DEU-NW;RB36;;;Ruhrort-Bahn;deunw.rb36;
deurwnr;DEU-NW;RB37;;;Niers-Erft-Bahn;deunw.rb37;
deurwnr;DEU-NW;RB38;;;Erft-Bahn;deunw.rb38;
deurwnr;DEU-NW;RB39;;;Düssel-Erft-Bahn;deunw.rb39;
deurwnr;DEU-NW;RB40;;;Ruhr-Lenne-Bahn;deunw.rb40;
deurwnr;DEU-NW;RE41;;;Vest-Ruhr-Express;deunw.re41;
deurwnr;DEU-NW;RE42;;;Niers-Haard-Express;deunw.re42;
deurwnr;DEU-NW;RB43;;;Emschertal-Bahn;deunw.rb43;
deurwnr;DEU-NW;RE44;;;Fossa-Emscher-Express;deunw.re44;
deurwnr;DEU-NW;RB46;;;Glückauf-Bahn;deunw.rb46;
deurwnr;DEU-NW;RE47;;;Düssel-Wupper-Express;deunw.re47;
deurwnr;DEU-NW;RB48;;;Rhein-Wupper-Bahn;deunw.rb48;
deurwnr;DEU-NW;RE49;;;Wupper-Lippe-Express;deunw.re49;
deurwnr;DEU-NW;RB50;;;Der Lüner;deunw.rb50;
deurwnr;DEU-NW;RB51;;;Westmünsterland-Bahn;deunw.rb51;
deurwnr;NLD;RB51;;;Westmünsterland-Bahn;nld.rb51;
deurwnr;DEU-NW;RB52;;;Volmetal-Bahn;deunw.rb52;
deurwnr;DEU-NW;RB53;;;Ardey-Bahn;deunw.rb53;
deurwnr;DEU-NW;RB54;;;Hönnetal-Bahn;deunw.rb54;
deurwnr;DEU-NW;RE57;;;Dortmund-Sauerland-Express (Winterberg portion);deunw.re57;
deurwnr;DEU-NW;RE57;;Bri;Dortmund-Sauerland-Express (Brilon portion);deunw.re57bri;
deurwnr;DEU-NW;RB59;;;Hellweg-Bahn;deunw.rb59;
deurwnr;DEU-NW;RE62;;Rhe;Ems-Werre-Express (Rheine);deunw.re62rhe;
deurwnr;DEU-NI;RE62;;;Ems-Werre-Express;deuni.re62;
deurwnr;DEU-NW;RE62;;;Ems-Werre-Express (Lohne);deunw.re62;
deurwnr;DEU-NW;RB63;;;Baumberge-Bahn;deunw.rb63;
deurwnr;DEU-NW;RB64;;;Euregio-Bahn;deunw.rb64;
deurwnr;NLD;RB64;;;Euregio-Bahn;nld.rb64;
deurwnr;DEU-NW;RB65;;;Ems-Bahn;deunw.rb65;
deurwnr;DEU-NW;RB66;;;Teuto-Bahn (Munster);deunw.rb66;
deurwnr;DEU-NI;RB66;;Nat;Teuto-Bahn (Natrup-Hagen);deuni.rb66nat;
deurwnr;DEU-NW;RB66;;Nat;Teuto-Bahn (Natrup-Hagen);deunw.rb66nat;
deurwnr;DEU-NI;RB66;;Osn;Teuto-Bahn (Osnabruck);deuni.rb66osn;
deurwnr;DEU-NW;RB67;;;Der Warendorfer;deunw.rb67;
deurwnr;DEU-NW;RB69;;;Ems-Börde-Bahn;deunw.rb69;
deurwnr;DEU-NW;RB71;;;Ravensberger Bahn;deunw.rb71;
deurwnr;DEU-NW;RB72;;;Ostwestfalen-Bahn;deunw.rb72;
deurwnr;DEU-NW;RB73;;;Der Lipperländer;deunw.rb73;
deurwnr;DEU-NW;RB74;;;Senne-Bahn;deunw.rb74;
deurwnr;DEU-NW;RB75;;;Haller Willem;deunw.rb75;
deurwnr;DEU-NI;RB75;;;Haller Willem;deuni.rb75;
deurwnr;DEU-NW;RE78;;;Porta-Express;deunw.re78;
deurwnr;DEU-NI;RE78;;;Porta-Express;deuni.re78;
deurwnr;DEU-NW;RE82;;;Der Leineweber;deunw.re82;
deurwnr;DEU-NW;RB84;;;Egge-Bahn;deunw.rb84;
deurwnr;DEU-NI;RB84;;;Egge-Bahn;deuni.rb84;
deurwnr;DEU-NW;RB85;;;Oberweser-Bahn (Paderborn);deunw.rb85;
deurwnr;DEU-NI;RB85;;Lau;Oberweser-Bahn (Laurenforde);deuni.rb85lau;
deurwnr;DEU-NW;RB85;;Wur;Oberweser-Bahn (Wurgassen);deunw.rb85wur;
deurwnr;DEU-HE;RB85;;;Oberweser-Bahn (Bad Karlshafen);deuhe.rb85;
deurwnr;DEU-NI;RB85;;Bod;Oberweser-Bahn (Bodenfelde);deuni.rb85bod;
deurwnr;DEU-HE;RB85;;Lip;Oberweser-Bahn (Lippoldsberg);deuhe.rb85lip;
deurwnr;DEU-NI;RB85;;EBo;Oberweser-Bahn ((east) Bodenfelde);deuni.rb85ebo;
deurwnr;DEU-HE;RB85;;Ver;Oberweser-Bahn (Vernawahlshausen);deuhe.rb85ver;
deurwnr;DEU-NI;RB85;;;Oberweser-Bahn (Gottingen);deuni.rb85;
deurwnr;DEU-NW;RB89;;;Ems-Börde-Bahn;deunw.rb89;
deurwnr;DEU-HE;RB90;;;Westerwald-Sieg-Bahn (Limburg);deuhe.rb90lim;
deurwnr;DEU-RP;RB90;;Dia;Westerwald-Sieg-Bahn (Diaz);deurp.rb90dia;
deurwnr;DEU-HE;RB90;;;Westerwald-Sieg-Bahn (Elz);deuhe.rb90;
deurwnr;DEU-RP;RB90;;;Westerwald-Sieg-Bahn (Hachenburg);deurp.rb90;
deurwnr;DEU-NW;RB90;;Aus;Westerwald-Sieg-Bahn (Au);deunw.rb90aus;
deurwnr;DEU-RP;RB90;;Fur;Westerwald-Sieg-Bahn (Furthen);deurp.rb90fur;
deurwnr;DEU-NW;RB90;;Opp;Westerwald-Sieg-Bahn (Opperzau);deunw.rb90opp;
deurwnr;DEU-RP;RB90;;Bet;Westerwald-Sieg-Bahn (Betzdorf);deurp.rb90bet;
deurwnr;DEU-NW;RB90;;;Westerwald-Sieg-Bahn (Siegen);deunw.rb90;
deurwnr;DEU-NW;RB91;;;Ruhr-Sieg-Bahn;deunw.rb91;
deurwnr;DEU-NW;RB91;;Ise;Ruhr-Sieg-Bahn (Iserlohn);deunw.rb91ise;
deurwnr;DEU-NW;RB92;;;Biggesee-Express;deunw.rb92;
deurwnr;DEU-RP;RB93;;;Rothaar-Bahn;deurp.rb93;
deurwnr;DEU-NW;RB94;;;Obere Lahntalbahn;deunw.rb94;
deurwnr;DEU-HE;RB94;;;Obere Lahntalbahn;deuhe.rb94;
deurwnr;DEU-NW;RB95;;;Sieg-Dill-Bahn;deunw.rb95;
deurwnr;DEU-HE;RB95;;;Sieg-Dill-Bahn;deuhe.rb95;
deurwnr;DEU-RP;RB96;;;Hellertal-Bahn (Betzdorf);deurp.rb96;
deurwnr;DEU-NW;RB96;;;Hellertal-Bahn (Burbach);deunw.rb96;
deurwnr;DEU-HE;RB96;;Hai;Hellertal-Bahn (Haiger);deunw.rb96hai;
deurwnr;DEU-NW;RB96;;Hol;Hellertal-Bahn (Holzhausen);deunw.rb96hol;
deurwnr;DEU-HE;RB96;;;Hellertal-Bahn (Dillenburg);deuhe.rb96;
deurwnr;DEU-RP;RB97;;;Daadetal-Bahn;deurp.rb97;
