systemName;route;banner;groupName;roots
deurwnr;RE1;;NRW-Express;deunw.re01
deurwnr;RE2;;Rhein-Haard-Express;deunw.re02,deuni.re02nat,deunw.re02nat,deuni.re02osn
deurwnr;RE3;;Rhein-Emscher-Express;deunw.re03
deurwnr;RE4;;Wupper-Express;deunw.re04
deurwnr;RE5;;Rhein-Express;deunw.re05
deurwnr;RE5;;Rhein-Express;deurp.re05
deurwnr;RE6;;Rhein-Weser-Express;deunw.re06
deurwnr;RE7;;Rhein-Münsterland-Express;deunw.re07
deurwnr;RE8;;Rhein-Erft-Express;deunw.re08,deurp.re08
deurwnr;RE9;;Rhein-Sieg-Express;deunw.re09,deurp.re09fur,deunw.re09opp,deurp.re09,deunw.re09sie
deurwnr;RE10;;Niers-Express;deunw.re10
deurwnr;RE11;;Rhein-Hellweg-Express;deunw.re11
deurwnr;RE12;;Eifel-Mosel-Express;deunw.re12
deurwnr;RE13;;Maas-Wupper-Express;nld.re13,deunw.re13
deurwnr;RE14;;Emscher-Münsterland-Express (Borken portion);deunw.re14
deurwnr;RE14;;;Emscher-Münsterland-Express (Coesfeld portion);deunw.re14
deurwnr;RE16;;Ruhr-Lenne-Express;deunw.re16
deurwnr;RE17;;Sauerland-Express;deunw.re17
deurwnr;RE19;;Rhein-IJssel-Express (Arnhem portion);deunw.re19,nld.re19
deurwnr;RE19;;Rhein-IJssel-Express (Bocholt portion);deunw.re19boc
deurwnr;RB20;;euregiobahn;deunw.rb20
deurwnr;RB21;;Rurtalbahn;deunw.rb21
deurwnr;RE22;;Eifel-Express;deunw.re22
deurwnr;RB24;;Eifel-Bahn;deunw.rb24
deurwnr;RB25;;Oberbergische Bahn;deunw.rb25
deurwnr;RB26;;MittelrheinBahn;deunw.rb26,deurp.rb26
deurwnr;RB27;;Rhein-Erft-Bahn;deunw.rb27,deurp.rb27
deurwnr;RB28;;Eifel-Bördebahn;deunw.rb28
deurwnr;RB30;;Rhein-Ahr-Bahn;deunw.rb30,deurp.rb30
deurwnr;RB31;;Der Niederrheiner;deunw.rb31
deurwnr;RB32;;Rhein-Emscher-Bahn;deunw.rb32
deurwnr;RB33;;Rhein-Niers-Bahn (Essen portion);deunw.rb33
deurwnr;RB33;;Hei;Rhein-Niers-Bahn (Heinsberg portion);deunw.rb33hei
deurwnr;RE34;;Dortmund-Siegerland-Express;deunw.re34
deurwnr;RB34;;Schwalm-Nette-Bahn;deunw.rb34
deurwnr;RB35;;Emscher-Niederrhein-Bahn;deunw.rb35
deurwnr;RB36;;Ruhrort-Bahn;deunw.rb36
deurwnr;RB37;;Niers-Erft-Bahn;deunw.rb37
deurwnr;RB38;;Erft-Bahn;deunw.rb38
deurwnr;RB39;;Düssel-Erft-Bahn;deunw.rb39
deurwnr;RB40;;Ruhr-Lenne-Bahn;deunw.rb40
deurwnr;RE41;;Vest-Ruhr-Express;deunw.re41
deurwnr;RE42;;Niers-Haard-Express;deunw.re42
deurwnr;RB43;;Emschertal-Bahn;deunw.rb43
deurwnr;RE44;;Fossa-Emscher-Express;deunw.re44
deurwnr;RB46;;Glückauf-Bahn;deunw.rb46
deurwnr;RE47;;Düssel-Wupper-Express;deunw.re47
deurwnr;RB48;;Rhein-Wupper-Bahn;deunw.rb48
deurwnr;RE49;;Wupper-Lippe-Express;deunw.re49
deurwnr;RB50;;Der Lüner;deunw.rb50
deurwnr;RB51;;Westmünsterland-Bahn;deunw.rb51,nld.rb51
deurwnr;RB52;;Volmetal-Bahn;deunw.rb52
deurwnr;RB53;;Ardey-Bahn;deunw.rb53
deurwnr;RB54;;Hönnetal-Bahn;deunw.rb54
deurwnr;RE57;;Dortmund-Sauerland-Express (Winterberg portion);deunw.re57
deurwnr;RE57;;Bri;Dortmund-Sauerland-Express (Brilon portion);deunw.re57bri
deurwnr;RB59;;Hellweg-Bahn;deunw.rb59
deurwnr;RE62;;Rhe;Ems-Werre-Express (Rheine);deunw.re62rhe,deuni.re62,deunw.re62
deurwnr;RB63;;Baumberge-Bahn;deunw.rb63
deurwnr;RB64;;Euregio-Bahn;deunw.rb64,nld.rb64
deurwnr;RB65;;Ems-Bahn;deunw.rb65
deurwnr;RB66;;Teuto-Bahn;deunw.rb66,deuni.rb66nat,deunw.rb66nat,deuni.rb66osn
deurwnr;RB67;;Der Warendorfer;deunw.rb67
deurwnr;RB69;;Ems-Börde-Bahn;deunw.rb69
deurwnr;RB71;;Ravensberger Bahn;deunw.rb71
deurwnr;RB72;;Ostwestfalen-Bahn;deunw.rb72
deurwnr;RB73;;Der Lipperländer;deunw.rb73
deurwnr;RB74;;Senne-Bahn;deunw.rb74
deurwnr;RB75;;Haller Willem;deunw.rb75,deuni.rb75
deurwnr;RE78;;Porta-Express;deunw.re78,deuni.re78
deurwnr;RE82;;Der Leineweber;deunw.re82
deurwnr;RB84;;Egge-Bahn;deunw.rb84,deuni.rb84
deurwnr;RB85;;Oberweser-Bahn;deunw.rb85,deuni.rb85lau,deunw.rb85wur,deuhe.rb85,deuni.rb85bod,deuhe.rb85lip,deuni.rb85ebo,deuhe.rb85ver,deuni.rb85;
deurwnr;RB89;;Ems-Börde-Bahn;deunw.rb89
deurwnr;RB90;;Westerwald-Sieg-Bahn ;deuhe.rb90lim,deurp.rb90dia,deuhe.rb90,deurp.rb90,deunw.rb90aus,deurp.rb90fur,deunw.rb90opp,deurp.rb90bet,deunw.rb90;
deurwnr;RB91;;Ruhr-Sieg-Bahn;deunw.rb91
deurwnr;RB91;;Ise;Ruhr-Sieg-Bahn (Iserlohn);deunw.rb91ise
deurwnr;RB92;;Biggesee-Express;deunw.rb92
deurwnr;RB93;;Rothaar-Bahn;deurp.rb93
deurwnr;RB94;;Obere Lahntalbahn;deunw.rb94,deuhe.rb94
deurwnr;RB95;;Sieg-Dill-Bahn;deunw.rb95,deuhe.rb95
deurwnr;RB96;;Hellertal-Bahn;deurp.rb96,deunw.rb96,deunw.rb96hai,deunw.rb96hol,deuhe.rb96;
deurwnr;RB97;;Daadetal-Bahn;deurp.rb97;
