systemName;region;route;banner;abbrev;city;root;altRouteNames
deurrs;DEU-NW;S1;;;Dortmund - Solingen;deunw.s01;
deurrs;DEU-NW;S2;;;Dortmund - Essen;deunw.s02;
deurrs;DEU-NW;S2;;Rec;Recklinghausen;deunw.s02rec;
deurrs;DEU-NW;S3;;;Oberhausen - Hattingen;deunw.s03;
deurrs;DEU-NW;S4;;;Unna - Dortmund;deunw.s04;
deurrs;DEU-NW;S5;;;Dortmund - Hagen;deunw.s05;
deurrs;DEU-NW;S6;;;Essen - Köln;deunw.s06;
deurrs;DEU-NW;S7;;;Wuppertal - Solingen;deunw.s07;
deurrs;DEU-NW;S8;;;Hagen - Mönchengladbach;deunw.s08;
deurrs;DEU-NW;S9;;;Haltern am See - Hagen;deunw.s09;
deurrs;DEU-NW;S9;;Rec;Recklinghausen;deunw.s09rec;
deurrs;DEU-NW;S11;;;Düsseldorf - Bergisch Gladbach;deunw.s11;
deurrs;DEU-NW;S12;;;Horrem - Au;deunw.s12;
deurrs;DEU-NW;S19;;;Düren - Au;deunw.s19;
deurrs;DEU-NW;S23;;;Bonn - Euskirchen;deunw.s23;
deurrs;DEU-NW;S28;;;Wuppertal - Kaarster See;deunw.s28;
deurrs;DEU-NW;S68;;;Wuppertal - Langenfeld;deunw.s68;
