systemName;route;banner;groupName;roots
deurrt;101;;Essen;deunw.101ess
deurrt;102;;Mülheim;deunw.102mul
deurrt;103;;Essen;deunw.103ess
deurrt;104;;Mülheim;deunw.104mul
deurrt;105;;Essen;deunw.105ess
deurrt;106;;Essen;deunw.106ess
deurrt;107;;Essen;deunw.107ess
deurrt;108;;Essen;deunw.108ess
deurrt;109;;Essen;deunw.109ess
deurrt;112;;Oberhausen;deunw.112obe
deurrt;301;;Gelsenkirchen;deunw.301gel
deurrt;302;;Gelsenkirchen;deunw.302gel
deurrt;302;;Bochum (branch);deunw.302boc
deurrt;305;;Bochum;deunw.305boc
deurrt;306;;Bochum;deunw.306boc
deurrt;308;;Bochum;deunw.308boc
deurrt;309;;Witten;deunw.309wit
deurrt;310;;Bochum;deunw.310boc
deurrt;316;;Bochum;deunw.316boc
deurrt;318;;Bochum;deunw.318boc
deurrt;701;;Düsseldorf;deunw.701dus
deurrt;704;;Düsseldorf;deunw.704dus
deurrt;705;;Düsseldorf;deunw.705dus
deurrt;706;;Düsseldorf;deunw.706dus
deurrt;707;;Düsseldorf;deunw.707dus
deurrt;708;;Düsseldorf;deunw.708dus
deurrt;709;;Düsseldorf;deunw.709dus
deurrt;901;;Duisburg;deunw.901dui
deurrt;903;;Duisburg;deunw.903dui
deurrt;041;;Krefeld;deunw.041kre
deurrt;042;;Krefeld;deunw.042kre
deurrt;043;;Krefeld;deunw.043kre
deurrt;044;;Krefeld;deunw.044kre
