systemName;region;route;banner;abbrev;city;root;altRouteNames
deurso;DEU-NI;RE1;;Got;Gottingen;deuni.re01got;
deurso;DEU-HE;RE1;;Eic;Eichenberg;deuhe.re01eic;
deurso;DEU-NI;RE1;;Eic;Eichenberg;deuni.re01eic;
deurso;DEU-TH;RE1;;;;deuth.re01;
deurso;DEU-SN;RE1;;Gla;Glauchau;deusn.re01gla;
deurso;DEU-SN;RE1;;;Dresden;deusn.re01;
deurso;DEU-SN;RE2;;;Dresden;deusn.re02;
deurso;CZE;RE2;;Slu;Sluknov;cze.re02slu;
deurso;DEU-SN;RE2;;Zit;Zittau;deusn.re02zit;
deurso;POL;RE2;;Zit;Zittau;pol.re02zit;
deurso;CZE;RE2;;Lib;Liberec;cze.re02lib;
deurso;DEU-TH;RE3;;;Greiz;deuth.re03;
deurso;DEU-TH;RE3;;Alt;Altenburg;deuth.re03alt;
deurso;DEU-BY;RE3;;Hof;Hof;deuby.re03hof;
deurso;DEU-SN;RE3;;Meh;Mehitheuer;deusn.re03meh;
deurso;DEU-TH;RE3;;Fro;Frotschau;deuth.re03fro;
deurso;DEU-SN;RE3;;;Dresden;deusn.re03;
deurso;DEU-NI;RE4;;Gos;Goslar;deuni.re04gos;
deurso;DEU-ST;RE4;;;;deust.re04;
deurso;DEU-NI;RE6;;Wol;Wolfsburg;deuni.re06wol;
deurso;DEU-ST;RE6;;;;deust.re06;
deurso;DEU-SN;RE6;;;;deusn.re06;
deurso;DEU-HE;RE8;;Kas;Kassel;deuhe.re08kas;
deurso;DEU-NI;RE8;;Han;Hann Munder;deuni.re08han;
deurso;DEU-HE;RE8;;Wit;Witzenhausen;deuhe.re08wit;
deurso;DEU-NI;RE8;;Eic;Eichenburg;deuni.re08eic;
deurso;DEU-TH;RE8;;;;deuth.re08;
deurso;DEU-ST;RE8;;;;deust.re08;
deurso;DEU-HE;RE9;;Kas;Kassel;deuhe.re09kas;
deurso;DEU-NI;RE9;;Han;Hann Munder;deuni.re09han;
deurso;DEU-HE;RE9;;Wit;Witzenhausen;deuhe.re09wit;
deurso;DEU-NI;RE9;;Eic;Eichenburg;deuni.re09eic;
deurso;DEU-TH;RE9;;;;deuth.re09;
deurso;DEU-ST;RE9;;;;deust.re09;
deurso;DEU-ST;RE10;;;;deust.re10;
deurso;DEU-TH;RE10;;;;deuth.re10;
deurso;DEU-NI;RE11;;Got;Gottingen;deuni.re11got;
deurso;DEU-HE;RE11;;Eic;Eichenburg;deuhe.re11eic;
deurso;DEU-NI;RE11;;Eic;Eichenburg;deuni.re11eic;
deurso;DEU-TH;RE11;;;;deuth.re11;
deurso;DEU-SN;RE11;;;Leipzig;deusn.re11;
deurso;DEU-BB;RE11;;;;deubb.re11;
deurso;DEU-SN;RE11;;Hoy;Hoyerswerda;deusn.re11hoy;
deurso;DEU-SN;RE12;;;;deusn.re12;
deurso;DEU-ST;RE12;;;;deust.re12;
deurso;DEU-TH;RE12;;;;deuth.re12;
deurso;DEU-ST;RE13;;;;deust.re13;
deurso;DEU-SN;RE13;;;;deusn.re13;
deurso;DEU-ST;RE14;;;;deust.re14;
deurso;DEU-BB;RE14;;;Falkenberg;deubb.re14fal;
deurso;DEU-SN;RE15;;Lei;Leipzig;deusn.re15lei;
deurso;DEU-ST;RE15;;;;deust.re15;
deurso;DEU-TH;RE15;;;;deuth.re15;
deurso;DEU-SN;RE15;;Hoy;Hoyerswerda;deusn.re15hoy;
deurso;DEU-BB;RE15;;Ruh;Ruhland;deubb.re15ruh;
deurso;DEU-SN;RE15;;;Dresden;deusn.re15;
deurso;DEU-ST;RE16;;;;deust.re16;
deurso;DEU-TH;RE16;;;;deuth.re16;
deurso;DEU-BB;RE18;;;;deubb.re18;
deurso;DEU-SN;RE18;;;;deusn.re18;
deurso;DEU-NI;RE20;;;;deuni.re20;
deurso;DEU-ST;RE20;;;;deust.re20;
deurso;DEU-ST;RE21;;;;deust.re21;
deurso;DEU-NI;RE21;;;;deuni.re21;
deurso;DEU-ST;RE24;;;;deust.re24;
deurso;DEU-ST;RE30;;;;deust.re30;
deurso;DEU-ST;RE31;;;;deust.re31;
deurso;DEU-TH;RE45;;;;deuth.re45;
deurso;DEU-TH;RE50;;;;deuth.re50;
deurso;DEU-SN;RE50;;;;deusn.re50;
deurso;DEU-TH;RE55;;;;deuth.re55;
deurso;DEU-TH;RE56;;;;deuth.re56;
deurso;DEU-SN;RB1;;;;deusn.rb01;
deurso;CZE;RB1;;;;cze.rb01;
deurso;DEU-SN;RB2;;;Plauen;deusn.rb02;
deurso;CZE;RB2;;Bad;Bad Brambach;cze.rb02bad;
deurso;DEU-SN;RB2;;Bad;Bad Brambach;deusn.rb02bad;
deurso;CZE;RB2;;Ham;Hammer;cze.rb02ham;
deurso;DEU-SN;RB2;;Ham;Hammer;deusn.rb02ham;
deurso;CZE;RB2;;Ple;Plesna;cze.rb02ple;
deurso;DEU-SN;RB2;;Sch;Schonberg;deusn.rb02sch;
deurso;CZE;RB2;;;Cheb;cze.rb02;
deurso;DEU-TH;RB4;;;;deuth.rb04;
