systemName;route;banner;groupName;roots
deurso;RE1;;Erfurt;deuni.re01got,deuhe.re01eic,deuni.re01eic,deuth.re01,deusn.re01gla
deurso;RE1;;Dresden;deusn.re01
deurso;RE2;;;deusn.re02,cze.re02slu,deusn.re02zit,pol.re2zit,cze.re02
deurso;RE3;;Greiz;deuth.re03
deurso;RE3;;Altenburg;deuth.re03alt
deurso;RE3;;Dresden;deuby.re03hof,deusn.re03meh,deuth.re03fro,deusn.re03
deurso;RE4;;;deuni.re04gos,deust.re04
deurso;RE6;;Magdeburg;deuni.re06wol,deust.re06
deurso;RE6;;Leipzig;deusn.re06
deurso;RE8;;;deuhe.re08kas,deuni.re08han,deuhe.re08wit,deuni.re08,deuth.re08,deust.re08
deurso;RE9;;;deuhe.re09kas,deuni.re09han,deuhe.re09wit,deuni.re09,deuth.re09,deust.re09
deurso;RE10;;;deust.re10,deuth.re10
deurso;RE11;;Erfurt;deuni.re11got,deuhe.re11eic,deuni.re11eic,deuth.re11
deurso;RE11;;Leipzig;deusn.re11,deubb.re11,deusn.re11
deurso;RE12;;;deusn.re12,deust.re12,deuth.re12
deurso;RE13;;;deust.re13,deusn.re13
deurso;RE14;;;deust.re14,deubb.re14fal
deurso;RE15;Lei;Leipzig;deusn.re15lei,deust.re15,deuth.re15
deurso;RE15;;Dresden;deu.re15hoy,deubb.re15ruh,deusn.re15
deurso;RE16;;;deusn.re16,deuth.re16
deurso;RE18;;;deubb.re18,deusn.re18
deurso;RE20;;;deuni.re20,deust.re20
deurso;RE21;;;deu.re21,deu.re21
deurso;RE24;;;deust.re24
deurso;RE30;;;deust.re30
deurso;RE31;;;deust.re31
deurso;RE45;;;deuth.re45
deurso;RE50;;Erfurt;deuth.re50
deurso;RE50;;Dresden;deusn.re50
deurso;RE55;;;deuth.re55
deurso;RE56;;;deuth.re56
deurso;RB1;;;deusn.rb01,cze.rb01
deurso;RB2;;;deusn.rb02,cze.rb02bad,deusn.rb02bad,cze.rb02ham,deusn.rb02ham,cze.rb02ple,deusn.rb02sch,cze.rb02
deurso;RB4;;;deuth.rb04,deusn.rb04
deurso;RB5;;;deusn.rb05meh,deuth.rb05,deusn.rb05,cze.rb05
deurso;RB6;;;deuhe.rb06beb,deuth.rb06gro,deuhe.rb06wil,deuth.rb06ger,deuhe.rb06her,deuth.rb06
deurso;RB13;;;deuth.rb13,deusn.rb13pau,deuth.rb13,deusn.rb13,deuby.rb13hof
deurso;RB20;;;deuth.rb20,deust.rb20
deurso;RB21;;;deuth.rb21
deurso;RB22;;;deusn.rb22,deust.rb22,deuth.rb22
deurso;RB23;;;deuth.rb23
deurso;RB25;;;deust.rb25,deuth.rb25
deurso;RB26;;;deuth.rb26
deurso;RB27;;;deuth.rb27
deurso;RB28;;;deuth.rb28
deurso;RB30;;;deuth.rb30
deurso;RB31;;;deubb.rb31,deusn.rb31
deurso;RB32;;;deuth.rb32
deurso;RB32;;;deust.rb33
deurso;RB32;;;deusn.rb33
deurso;RB34;;;deust.rb34,deubb.rb34
deurso;RB35;;;deuni.rb35,deusn.rb35
deurso;RB36;;;deuni.rb36,deusn.rb36
deurso;RB37;;;deuth.rb37,deusn.rb37
deurso;RB40;;;deuni.rb40,deusn.rb40
deurso;RB41;;Magdeburg;deust.rb41
deurso;RB41;;Meiningen;deuth.rb41
deurso;RB43;;Magdeburg;deust.rb43
deurso;RB43;;Schmalkalden;deuth.rb43
deurso;RB44;;Halberstadt;deust.rb44
deurso;RB44;;Erfurt;deuth.rb44
deurso;RB45;;;deubb.rb45,deusn.rb45
deurso;RB46;;;deuth.rb46
deurso;RB47;;;deust.rb47
deurso;RB48;;;deuth.rb48
deurso;RB50;;;deust.rb50
deurso;RB51;;Gotha;deuth.rb51
deurso;RB51;;Dessau;deust.rb51,deubb.rb51fal
deurso;RB52;;;deuth.rb52
deurso;RB53;;;deuth.rb53
deurso;RB57;;;deuth.rb57,deust.rb57
deurso;RB59;;;deust.rb59,deuth.rb59
deurso;RB60;;Rottenbach;deuth.rb60
deurso;RB60;;Dresden;deusn.rb60
deurso;RB61;;Oberweissbach;deuth.rb61
deurso;RB61;;Dresden;deusn.rb61,cze.rb61,deusn.rb61
deurso;RB64;;;deusn.rb64
deurso;RB65;;;deubb.rb65,deusn.rb65,pol.rb65krz,deusn.rb65ros,pol.rb65trz,deusn.rb65zit
deurso;RB71;;;deusn.rb71
deurso;RB72;;;deusn.rb72
deurso;RB76;;;deust.rb76
deurso;RB77;;;deust.rb77
deurso;RB80;;;deusn.rb80
deurso;RB81;;;deusn.rb81
deurso;RB83;;;deusn.rb83
deurso;RB92;;;deusn.rb92
deurso;RB95;;;deusn.rb95
deurso;RB110;;;deusn.rb110
deurso;RB113;;;deusn.rb113
