systemName;route;banner;groupName;roots
deurssb;01;;Köln;deunw.01kol
deurssb;03;;Köln;deunw.03kol
deurssb;04;;Köln;deunw.04kol
deurssb;05;;Köln;deunw.05kol
deurssb;07;;Köln;deunw.07kol
deurssb;09;;Köln;deunw.09kol
deurssb;12;;Köln;deunw.12kol
deurssb;13;;Köln;deunw.13kol
deurssb;15;;Köln;deunw.15kol
deurssb;15;;Longerich, Köln;deunw.15lon
deurssb;16;;Rhein-Sieg;deunw.16rhe
deurssb;17;;Köln;deunw.17kol
deurssb;18;;Rhein-Sieg;deunw.18rhe
deurssb;61;;Bonn;deunw.61bon
deurssb;62;;Bonn;deunw.62bon
deurssb;63;;Bonn;deunw.63bon
deurssb;65;;Bonn;deunw.65bon
deurssb;66;;Bonn;deunw.66bon
deurssb;67;;Bonn;deunw.67bon
deurssb;68;;Bonn;deunw.68bon
