systemName;region;route;banner;abbrev;city;root;altRouteNames
deusu;DEU-BW;U1;;;Stuttgart;deubw.u01;
deusu;DEU-BW;U2;;;Stuttgart;deubw.u02;
deusu;DEU-BW;U3;;;Stuttgart;deubw.u03;
deusu;DEU-BW;U4;;;Stuttgart;deubw.u04;
deusu;DEU-BW;U5;;;Stuttgart;deubw.u05;
deusu;DEU-BW;U6;;;Stuttgart;deubw.u06;
deusu;DEU-BW;U7;;;Stuttgart;deubw.u07;
deusu;DEU-BW;U8;;;Stuttgart;deubw.u08;
deusu;DEU-BW;U9;;;Stuttgart;deubw.u09;
deusu;DEU-BW;U11;;;Stuttgart;deubw.u11;
deusu;DEU-BW;U12;;;Stuttgart;deubw.u12;
deusu;DEU-BW;U13;;;Stuttgart;deubw.u13;
deusu;DEU-BW;U14;;;Stuttgart;deubw.u14;
deusu;DEU-BW;U15;;;Stuttgart;deubw.u15;
deusu;DEU-BW;U16;;;Stuttgart;deubw.u16;
deusu;DEU-BW;U19;;;Stuttgart;deubw.u19;
deusu;DEU-BW;U21;;;Stuttgart;deubw.u21;
deusu;DEU-BW;U25;;;Stuttgart;deubw.u25;
deusu;DEU-BW;U29;;;Stuttgart;deubw.u29;
deusu;DEU-BW;U34;;;Stuttgart;deubw.u34;
