systemName;region;route;banner;abbrev;city;root;altRouteNames
espcm;ESP-MD;C1;;;Madrid;espmd.c1;
espcm;ESP-MD;C2;;;Madrid;espmd.c2;
espcm;ESP-CM;C2;;;Madrid;espcm.c2;
espcm;ESP-MD;C3;;;Madrid;espmd.c3;
espcm;ESP-MD;C3a;;;Madrid;espmd.c3a;
espcm;ESP-MD;C4a;;;Madrid;espmd.c4a;
espcm;ESP-MD;C4b;;;Madrid;espmd.c4b;
espcm;ESP-MD;C5;;;Madrid;espmd.c5;
espcm;ESP-MD;C7;;;Madrid;espmd.c7;
espcm;ESP-MD;C8;;;Madrid;espmd.c8;
espcm;ESP-CM;C8;;;Madrid;espcm.c8;
espcm;ESP-CL;C9;;;Madrid;espcl.c9;
espcm;ESP-MD;C9;;;Madrid;espmd.c9;
espcm;ESP-MD;C10;;;Madrid;espmd.c10;
