systemName;region;route;banner;abbrev;city;root;altRouteNames
esprf;ESP-GA;R1;f;;;espga.r1f;
esprf;ESP-AS;R1;f;;;espas.r1f;
esprf;ESP-GA;R1a;f;;;espga.r1af;
esprf;ESP-AS;R1b;f;;;espas.r1bf;
esprf;ESP-AS;R2;f;;;espas.r2f;
esprf;ESP-CB;R2;f;;;espcb.r2f;
esprf;ESP-AS;R2a;f;;;espas.r2af;
esprf;ESP-CB;R3;f;;;espcb.r3f;
esprf;ESP-PV;R3;f;;;esppv.r3f;
esprf;ESP-CB;R3a;f;;;espcb.r3af;
esprf;ESP-PV;R3b;f;;;esppv.r3bf;
esprf;ESP-CL;R4;f;;Cistierna;espcl.r4f;
esprf;ESP-CB;R4;f;;;espcb.r4f;
esprf;ESP-CL;R4;f;Ped;Pedrosa;espcl.r4fped;
esprf;ESP-PV;R4;f;;;esppv.r4f;
esprf;ESP-MC;C4;f;;Cartagena;espmc.c4f;
esprf;ESP-GA;C1;f;;Ferrol;espga.c1f;
esprf;ESP-CL;C1;f;;Leon;espcl.c1f;
