systemName;region;route;banner;abbrev;city;root;altRouteNames
eurf;WLS;AbeCliRwy;;;Rheilffordd y Graig, Aberystwyth;wls.abeclirwy;
eurf;ESP-CT;FunMon;;;Funicular de Montjuïc, Barcelona;espct.funmon;
eurf;ESP-CT;FunTib;;;Funicular del Tibidabo, Barcelona;espct.funtib;
eurf;ESP-CT;FunVal;;;Funicular de Vallvidrera, Barcelona;espct.funval;
eurf;NOR;FloiBan;;;Fløibanen, Bergen;nor.floiban;
eurf;ESP-PV;F;;;Artxandako funikularra, Bilbo;esppv.f;
eurf;ESP-PV;FE;;;Larreinetako funikularra, Bilbo;esppv.fe;
eurf;ESP-PV;L;;;Mamariga funikularra, Bilbo;esppv.l;
eurf;ENG;FWCliLift;;;Fisherman's Walk Cliff Lift, Bournemouth;eng.fwclilift;
eurf;ENG;WestCliLift;;;West Cliff Lift, Bournemouth;eng.wesclilift;
eurf;ENG;BriCliRwy;;;Bridgnorth Cliff Railway;eng.briclirwy;
eurf;WLS;EbbwValeCab;;;Ebbw Vale Cableway;wls.ebbwvalecab;
eurf;ESP-CT;FunGel;;;Funicular de Gelida;espct.fungel;
eurf;ITA-LIG;CPG;;;Cremagliera Principe - Granarolo, Genova;italig.cpg;
eurf;ITA-LIG;FSA;;;Funicolare Sant'Anna, Genova;italig.fsa;
eurf;ITA-LIG;FZR;;;Funicolare Zecca - Righi, Genova;italig.fzr;
eurf;ENG;EastHillLift;;;East Hill Lift, Hastings;eng.easthilllift;
eurf;ENG;WestHillLift;;;West Hill Lift, Hastings;eng.westhilllift;
eurf;FRA-NOR;Fun;;;Funiculaire du Havre;franor.fun;
eurf;WLS;DeepMineRwy;;;Deep Mine Railway, Llechwedd Slate Caverns;wls.deepminerwy;
eurf;FRA-ARA;F1;;;Funiculaire de Saint-Just, Lyon;fraara.f1;
eurf;FRA-ARA;F2;;;Funiculaire de Fourvière, Lyon;fraara.f2;
eurf;ENG;LLCliRwy;;;Lynton and Lynmouth Cliff Railway;eng.llclirwy;
eurf;WLS;CATFun;;;Centre for Alternative Technology Funicular, Machynlleth;wls.catfun;
eurf;ESP-CT;CreMon;;;Cremallera de Montserrat, Monestir de Montserrat;espct.cremon;
eurf;ESP-CT;FunStCova;;;Funicular de la Santa Cova, Monestir de Montserrat;espct.funstcova;
eurf;ESP-CT;FunStJoan;;;Funicular de Sant Joan, Monestir de Montserrat;espct.funstjoan;
eurf;ITA-CAM;A;;;Funicolare Centrale, Napoli;itacam.a;
eurf;ITA-CAM;B;;;Funicolare di Chiaia, Napoli;itacam.b;
eurf;ITA-CAM;C;;;Funicolare di Montesanto, Napoli;itacam.c;
eurf;ITA-CAM;D;;;Funicolare di Mergellina, Napoli;itacam.d;
eurf;ITA-TOS;FunCer;;;Funicolare di Certaldo;itatos.funcer;
eurf;ESP-CT;CreNur;;;Cremallera de Núria;espct.crenur;
eurf;FRA-IDF;FunMon;;;Funiculaire de Montmartre, Paris;fraidf.funmon;
eurf;ENG;SalCliTwy;;;Saltburn Cliff Tramway;eng.salclitwy;
eurf;ENG;CenTwy;;;Central Tramway, Scarborough;eng.centwy;
eurf;ENG;CliLift;;;Cliff Lift, Southend-on-Sea;eng.clilift;
eurf;ENG;BabCliRwy;;;Babbacombe Cliff Railway, Torquay;eng.babclirwy;
eurf;ENG;LegHillTrn;;;Legoland Hill Train, Windsor;eng.leghilltrn;
eurf;CHE;AllBahn;;;Allmendhubelbahn;che.allbahn;
eurf;CHE;BraBahn;;;Braunwaldbahn;che.brabahn;
eurf;CHE;BurBahn;;;Bürgenstock-Bahn;che.burbahn;
eurf;CHE;ChaBahn;;;Chäserrugg-Bahn;che.chabahn;
eurf;CHE;CFFunTG;;;Chemin de fer funiculaire Territet–Glion;che.cffuntg;
eurf;CHE;CFFunVMP;;;Chemin de fer funiculaire Vevey–Chardonne–Mont Pèlerin;che.cffunvmp;
eurf;CHE;CFAvaSon;;;Chemin de fer Les Avants–Sonloup;che.cfavason;
eurf;CHE;25;;Zur;Dolderbahn;che.25zur;
eurf;CHE;110;;Neu;Fun'ambule;che.110neu;
eurf;CHE;FunCMB;;;Funicolare Cassarate–Monte Brè;che.funcmb;
eurf;CHE;FunRit;;;Funicolare del Ritom;che.funrit;
eurf;CHE;FunLMS;;;Funicolare Locarno–Madonna del Sasso;che.funlms;
eurf;CHE;FunLCS;;;Funicolare Lugano Città–Stazione;che.funlcs;
eurf;CHE;FunMSS;;;Funicolare Monte San Salvatore;che.funmss;
eurf;CHE;21;;Bie;Funiculaire Bienne–Evilard;che.21bie;
eurf;CHE;FunCCE;;;Funiculaire Châtelard - Château d'Eau;che.funcce;
eurf;CHE;FunCos;;;Funiculaire Cossonay–Gare–Ville;che.funcos;
eurf;CHE;FunFri;Funiculaire de Fribourg/Standseilbahn Neuveville–Saint-Pierre;che.funfri;
eurf;CHE;112;;Neu;Funiculaire Ecluse Plan;che.112neu;
eurf;CHE;111;;Neu;Funiculaire La Coudre Chaumont;che.111neu;
eurf;CHE;FunMol;;;Funiculaire Moléson sur Gruyères;che.funmol;
eurf;CHE;FunSIMS;;;Funiculaire Saint-Imier-Mont-Soleil;che.funsims;
eurf;CHE;FunSMC;;;Funiculaire Sierre–Montana–Crans;che.funsmc;
eurf;CHE;FunSLC;;;Funiculaire St-Luc Chandolin;che.funslc;
eurf;CHE;GelBahn;;;Gelmerbahn;che.gelbahn;
eurf;CHE;GieBahn;;;Giessbachbahn;che.giebahn;
eurf;CHE;GurBahn;;;Gurtenbahn;che.gurbahn;
eurf;CHE;GutBahn;;;Gütschbahn;che.gutbahn;
eurf;CHE;HarBahn;;;Harderbahn;che.harbahn;
eurf;CHE;HeiBahn;;;Heimwehfluhbahn;che.heibahn;
eurf;CHE;22;;Bie;Magglingenbahn;che.22bie;
eurf;CHE;MarBahn;;;Marzilibahn;che.marbahn;
eurf;CHE;MetAlp;;;Metro Alpin;che.metalp;
eurf;CHE;MiniFunEmo;;;Minifunic d'Emosson;che.minifunemo;
eurf;CHE;MuhBahn;;;Mühleggbahn;che.muhbahn;
eurf;CHE;MuoMurBahn;;;Muottas-Muragl-Bahn;che.muomurbahn;
eurf;CHE;NieBahn;;;Niesenbahn;che.niebahn;
eurf;CHE;ParBahn;;;Parsenn Bahn;che.parbahn;
eurf;CHE;24;;Zur;Polybahn;che.24zur;
