systemName;region;route;banner;abbrev;city;root;altRouteNames
eurhr;GGY;AldRwy;;;Alderney Railway;ggy.aldrwy;
eurhr;SCT;AlfVlyRwy;;;Alford Valley Railway;sct.alfvlyrwy;
eurhr;SCT;AlmVlyRwy;;;Almond Valley Railway;sct.almvlyrwy;
eurhr;ENG;AlnVlyRwy;;;Aln Valley Railway;eng.alnvlyrwy;
eurhr;ENG;AltTowMon;;;Alton Towers Monorail;eng.alttowmon;
eurhr;ENG;AmbMusRwy;;;Amberley Museum Railway;eng.ambmusrwy;
eurhr;ENG;AVLR;;;Apdale Valley Light Railway;eng.avlr;
eurhr;ENG;AppFroRwy;;;Appleby - Frodingham Railway;eng.appfrorwy;
eurhr;ENG;AvonVlyRwy;;;Avon Valley Railway;eng.avonvlyrwy;
eurhr;ENG;BatLn;;;Battlefield Line;eng.batln;
eurhr;ENG;BeaTwy;;;Beamish Tramway;eng.beatwy;
eurhr;ENG;BHLR;;;Beer Heights Light Railway;eng.bhlr;
eurhr;NOR;BES;;;Bergens Elektriske Sporvei;nor.bes;
eurhr;ENG;BicSR;;;Bickington Steam Railway;eng.bicsr;
eurhr;ENG;BTCT;;;Blackpool Trams Coastal Tour;eng.btct;
eurhr;ENG;BTPT;;;Blackpool Trams Promenade Tour;eng.btpt;
eurhr;ENG;BlaZooRwy;;;Blackpool Zoo Railway;eng.blazoorwy;
eurhr;ENG;BlePkRwy;;;Blenheim Park Railway;eng.blepkrwy;
eurhr;SCT;BonKinRwy;;;Bo'ness & Kinneil Railway;sct.bonkinrwy;
eurhr;ENG;BWLR;;;Bredgar & Wormshill Light Railway;eng.bwlr;
eurhr;ENG;BluRwy;;;Bluebell Railway;eng.blurwy;
eurhr;ENG;BotWenRwy;;;Bodmin & Wenford Railway;eng.bodwenrwy;
eurhr;ENG;BriHarRwy;;;Bristol Harbour Railway;eng.briharrwy;
eurhr;ENG;BureVlyRwy;;;Bure Valley Railway;eng.burevlyrwy;
eurhr;SCT;CalRwy;;;Caledonian Railway;sct.calrwy;
eurhr;ENG;CamHerRwy;;;Cambrian Heritage Railways;eng.camherrwy;
eurhr;ENG;ChaRwy;;;Chasewater Railway;eng.charwy;
eurhr;ENG;ChiPRRwy;;;Chinnor & Princes Risborough Railway;eng.chiprrwy;
eurhr;ENG;ChoWalRwy;;;Cholsey & Wallingford Railway;eng.chowalrwy;
eurhr;ENG;ChuVlyRwy;;;Churnet Valley Railway;eng.chuvlyrwy;
eurhr;ENG;CCLR;;;Cleethorpes Coast Light Railway;eng.cclr;
eurhr;ENG;CriTwy;;;Crich Tramway;eng.critwy;
eurhr;ENG;DarSR;;;Dartmouth Steam Railway;eng.darsr;
eurhr;ENG;DeanForRwy;;;Dean Forest Railway;eng.deanforrwy;
eurhr;ENG;DRCMainLn;;;Didcot Railway Centre Main Line;eng.drcmainln;
eurhr;ENG;DRCBraLn;;;Didcot Railway Centre Branch Line;eng.drcbraln;
eurhr;IMN;DHT;;;Douglas Horse Tram;imn.dht;
eurhr;NIR;DowCDRwy;;;Downpatrick & County Down Railway;nir.dowcdrwy;
eurhr;ENG;EKenRwy;;;East Kent Railway;eng.ekentrwy;
eurhr;ENG;ELanRwy;;;East Lancashire Railway;eng.elanrwy;
eurhr;ENG;ESomRwy;;;East Somerset Railway;eng.esomrwy;
eurhr;ENG;ELSR;;;Eastleigh Lakeside Steam Railway;eng.elsr;
eurhr;ENG;EccVlyRwy;;;Ecclesbourne Valley Railway;eng.eccvlyrwy;
eurhr;ENG;EchWoodRwy;;;Echills Wood Railway;eng.echwoodrwy;
