systemName;region;route;banner;abbrev;city;root;altRouteNames
fraarater;FRA-ARA;K1;;;;fraara.k01;
fraarater;CHE;K1;;;;che.k01;
fraarater;FRA-ARA;K2;;;;fraara.k02;
fraarater;FRA-ARA;K3;;;;fraara.k03;
fraarater;FRA-ARA;K6;;;;fraara.k06;
fraarater;FRA-ARA;K11;;;;fraara.k11;
fraarater;CHE;K11;;;;che.k11;
fraarater;FRA-ARA;K14;;;;fraara.k14;
fraarater;FRA-PAC;K14;;;;frapac.k14;
fraarater;FRA-ARA;K16;;;;fraara.k16;
fraarater;FRA-PAC;K21;;;;frapac.k21;
fraarater;FRA-ARA;K21;;;;fraara.k21;
fraarater;FRA-PAC;K24;;;;frapac.k24;
fraarater;FRA-ARA;K24;;;;fraara.k24;
fraarater;FRA-BFC;K24;;;;frabfc.k24;
fraarater;FRA-ARA;K31;;;;fraara.k31;
fraarater;FRA-ARA;K41;;;;fraara.k41;
fraarater;FRA-ARA;K43;;;;fraara.k43;
fraarater;FRA-ARA;C1;;;;fraara.c01;
fraarater;FRA-ARA;C6;;;;fraara.c06;
fraarater;FRA-ARA;C7;;;;fraara.c07;
fraarater;FRA-ARA;C9;;;;fraara.c09;
fraarater;FRA-ARA;C10;;;;fraara.c10;
fraarater;FRA-ARA;C11;;;;fraara.c11;
fraarater;FRA-ARA;C12;;;;fraara.c12;
fraarater;FRA-ARA;C13;;;;fraara.c13;
fraarater;FRA-ARA;C15;;;;fraara.c15;
fraarater;FRA-BFC;C15;;;;frabfc.c15;
fraarater;FRA-ARA;C18;;;;fraara.c18;
fraarater;FRA-ARA;C19;;;;fraara.c19;
fraarater;FRA-ARA;C20;;;;fraara.c20;
fraarater;FRA-ARA;C21;;;;fraara.c21;
fraarater;FRA-ARA;C22;;;;fraara.c22;
fraarater;FRA-ARA;C23;;;;fraara.c23;
fraarater;FRA-ARA;C24;;;;fraara.c24;
fraarater;FRA-ARA;C25;;;;fraara.c25;
fraarater;FRA-BFC;C25;;;;frabfc.c25;
fraarater;FRA-ARA;C26;;;;fraara.c26;
fraarater;FRA-ARA;C28;;;;fraara.c28;
fraarater;FRA-ARA;C29;;;;fraara.c29;
fraarater;FRA-ARA;C30;;;;fraara.c30;
fraarater;FRA-ARA;C33;;;;fraara.c33;
fraarater;FRA-ARA;C40;;;;fraara.c40;
fraarater;FRA-ARA;C43;;;;fraara.c43;
fraarater;FRA-ARA;P2;;;Lyon;fraara.p02;
fraarater;FRA-BFC;P2;;Par;Paray-le-Monial;frabfc.p02par;
fraarater;FRA-ARA;P2;;Mou;Moulins;fraara.p02mou;
fraarater;FRA-BFC;P2;;;Nevers;frabfc.p02;
fraarater;FRA-CVL;P2;;;;fracvl.p02;
fraarater;FRA-ARA;P3;;;;fraara.p03;
fraarater;FRA-ARA;P4;;;;fraara.p04;
fraarater;FRA-PAC;P4;;;;frapac.p04;
fraarater;FRA-ARA;P13;;;;fraara.p13;
fraarater;FRA-PAC;P13;;;;frapac.p13;
fraarater;FRA-ARA;P14;;;;fraara.p14;
fraarater;FRA-PAC;P14;;;;frapac.p14;
fraarater;FRA-ARA;P17;;;;fraara.p17;
fraarater;FRA-OCC;P17;;;;fraocc.p17;
fraarater;FRA-ARA;P22;;;;fraara.p22;
fraarater;FRA-ARA;P24;;;;fraara.p24;
fraarater;FRA-PAC;P24;;;;frapac.p24;
fraarater;FRA-ARA;P26;;;;fraara.p26;
fraarater;FRA-ARA;P27;;;;fraara.p27;
fraarater;FRA-OCC;P27;;;;fraocc.p27;
fraarater;FRA-ARA;P28;;;;fraara.p28;
fraarater;FRA-ARA;P31;;;;fraara.p31;
fraarater;FRA-ARA;P37;;;;fraara.p37;
fraarater;FRA-ARA;P41;;;;fraara.p41;
fraarater;FRA-ARA;P52;;;;fraara.p52;
fraarater;FRA-ARA;P55;;;;fraara.p55;
