systemName;route;banner;groupName;roots
frahdfterk;K90;;;frahdf.k90
frahdfterk;K92;;;frahdf.k92
frahdfterk;K94;;;frahdf.k94
frahdfterk;K10;;;frahdf.k10,fraidf.k10
frahdfterk;K11;;;frahdf.k11,fraidf.k11
frahdfterk;K12;;;frahdf.k12,fraidf.k12
frahdfterk;K13;;Cambrai;frahdf.k13,fraidf.k13
frahdfterk;K13;;Mauberge;frahdf.k13mau,fraidf.k13mau
frahdfterk;K14;;;frahdf.k14,fraidf.k14
frahdfterk;K15;;;fraidf.k15,frahdf.k15
frahdfterk;K16;;;frahdf.k16,fraidf.k16
frahdfterk;K20;;;frahdf.k20
frahdfterk;K21;;;frahdf.k21
frahdfterk;K40;;;frahdf.k40
frahdfterk;K43;;;frahdf.k43
frahdfterk;K44;;;frahdf.k44
frahdfterk;K45;;;frahdf.k45,franor.k45
frahdfterk;K50;;;frahdf.k50
frahdfterk;K51;;;frahdf.k51
frahdfterk;K52;;;frahdf.k52
frahdfterk;K60;;;frahdf.k60
frahdfterk;K61;;;frahdf.k61,frages.k61
frahdfterk;K70;;;frahdf.k70
frahdfterk;K71;;;frahdf.k71
frahdfterk;K80;;;bel.k80,frahdf.k80
frahdfterk;K82;;;frahdf.k82,bel.k82
