systemName;region;route;banner;abbrev;city;root;altRouteNames
frahdfterp;FRA-HDF;P10;;;;frahdf.p10;
frahdfterp;FRA-HDF;P14;;;;frahdf.p14;
frahdfterp;FRA-HDF;P15;;;;frahdf.p15;
frahdfterp;FRA-HDF;P20;;;;frahdf.p20;
frahdfterp;FRA-HDF;P21;;;;frahdf.p21;
frahdfterp;FRA-HDF;P22;;;;frahdf.p22;
frahdfterp;FRA-HDF;P23;;;;frahdf.p23;
frahdfterp;FRA-HDF;P24;;;;frahdf.p24;
frahdfterp;FRA-NOR;P30;;;;franor.p30;
frahdfterp;FRA-HDF;P30;;;;frahdf.p30;
frahdfterp;FRA-HDF;P32;;;;frahdf.p32;
frahdfterp;FRA-HDF;P40;;;;frahdf.p40;
frahdfterp;FRA-HDF;P41;;;;frahdf.p41;
frahdfterp;FRA-HDF;P42;;;;frahdf.p42;
frahdfterp;FRA-HDF;P43;;;;frahdf.p43;
frahdfterp;FRA-HDF;P44;;;;frahdf.p44;
frahdfterp;FRA-HDF;P51;;;;frahdf.p51;
frahdfterp;FRA-HDF;P52;;;;frahdf.p52;
frahdfterp;FRA-HDF;P53;;;;frahdf.p53;
frahdfterp;FRA-HDF;P54;;;;frahdf.p54;
frahdfterp;FRA-HDF;P60;;;;frahdf.p60;
frahdfterp;FRA-HDF;P61;;;;frahdf.p61;
frahdfterp;FRA-HDF;P62;;;;frahdf.p62;
frahdfterp;FRA-HDF;P63;;;;frahdf.p63;
frahdfterp;FRA-HDF;P64;;;;frahdf.p64;
frahdfterp;FRA-HDF;P70;;;;frahdf.p70;
frahdfterp;FRA-HDF;P71;;;;frahdf.p71;
frahdfterp;FRA-HDF;P72;;;;frahdf.p72;
frahdfterp;FRA-HDF;P73;;;;frahdf.p73;
frahdfterp;FRA-HDF;P80;;;;frahdf.p80;
frahdfterp;FRA-HDF;P81;;;;frahdf.p81;
frahdfterp;BEL;P81;;;;bel.p81;
