systemName;region;route;banner;abbrev;city;root;altRouteNames
fraidft;FRA-IDF;T1;;;;fraidf.t01;
fraidft;FRA-IDF;T2;;;;fraidf.t02;
fraidft;FRA-IDF;T3a;;;;fraidf.t03a;
fraidft;FRA-IDF;T3b;;;;fraidf.t03b;
fraidft;FRA-IDF;T4;;;Montfermeil;fraidf.t04;
fraidft;FRA-IDF;T4;;Aul;Aulney-sous-Bois;fraidf.t04aul;
fraidft;FRA-IDF;T5;;;;fraidf.t05;
fraidft;FRA-IDF;T6;;;;fraidf.t06;
fraidft;FRA-IDF;T7;;;;fraidf.t07;
fraidft;FRA-IDF;T8;;;Epinay;fraidf.t08;
fraidft;FRA-IDF;T8;;Vil;Villetaneuse;fraidf.t08vil;
fraidft;FRA-IDF;T9;;;;fraidf.t09;
fraidft;FRA-IDF;T10;;;;fraidf.t10;
fraidft;FRA-IDF;T11;;;;fraidf.t11;
fraidft;FRA-IDF;T12;;;;fraidf.t12;
fraidft;FRA-IDF;T13;;;;fraidf.t13;
fraidft;FRA-IDF;T14;;;;fraidf.t14;PCre
