systemName;region;route;banner;abbrev;city;root;altRouteNames
franaqter;FRA-CVL;D11;;;;fracvl.d11;
franaqter;FRA-NAQ;D11;;;;franaq.d11;
franaqter;FRA-CVL;L11;;;;fracvl.l11;
franaqter;FRA-NAQ;L11;;;;franaq.l11;
franaqter;FRA-NAQ;F11;;;;franaq.f11;
franaqter;FRA-NAQ;L12;;;;franaq.l12;
franaqter;FRA-NAQ;L13;;;;franaq.l13;
franaqter;FRA-NAQ;D14;;;;franaq.d14;
franaqter;FRA-NAQ;L14;;;;franaq.l14;
franaqter;FRA-NAQ;D15;;;;franaq.d15;
franaqter;FRA-NAQ;L15;;;;franaq.l15;
franaqter;FRA-NAQ;F15;;;;franaq.f15;
franaqter;FRA-NAQ;L16;;;;franaq.l16;
franaqter;FRA-NAQ;L17;;;;franaq.l17;
franaqter;FRA-NAQ;L18;;;;franaq.l18;
franaqter;FRA-NAQ;D22;;;;franaq.d22;
franaqter;FRA-NAQ;L22;;;;franaq.l22;
franaqter;FRA-NAQ;L23;;;;franaq.l23;
franaqter;FRA-NAQ;L23;;Bri;Brive branch;franaq.l23bri;
franaqter;FRA-NAQ;L24;;;;franaq.l24;
franaqter;FRA-NAQ;L25;;;;franaq.l25;
franaqter;FRA-ARA;L25;;;;fraara.l25;
franaqter;FRA-NAQ;L25;;Fel;Felletin branch;franaq.l25fel;
franaqter;FRA-NAQ;L26;;;;franaq.l26;
franaqter;FRA-NAQ;L27;;;;franaq.l27;
franaqter;FRA-NAQ;F27;;;;franaq.f27;
franaqter;FRA-NAQ;D31;;;;franaq.d31;
franaqter;FRA-NAQ;L31;;;;franaq.l31;
franaqter;FRA-NAQ;L32;;;;franaq.l32;
franaqter;FRA-NAQ;F32;;;;franaq.f32;
franaqter;FRA-NAQ;D33;;;;franaq.d33;
franaqter;FRA-NAQ;L33;;;;franaq.l33;
franaqter;FRA-NAQ;L34;;;;franaq.l34;
franaqter;FRA-NAQ;L34;;Sar;Sarlat branch;franaq.l34sar;
franaqter;FRA-NAQ;F41;;;;franaq.f41;
franaqter;FRA-NAQ;L42;;;;franaq.l42;
franaqter;FRA-NAQ;L42;;Pes;Pessac branch;franaq.l42pes;
franaqter;FRA-NAQ;F42;;;;franaq.f42;
franaqter;FRA-NAQ;F42;;Bor;Bordeaux branch;franaq.f42bor;
franaqter;FRA-NAQ;F43;;;;franaq.f43;
franaqter;FRA-NAQ;D44;;;;franaq.d44;
franaqter;FRA-NAQ;L44;;;;franaq.l44;
franaqter;FRA-NAQ;F44;;;;franaq.f44;
franaqter;FRA-NAQ;D45;;;;franaq.d45;
franaqter;FRA-NAQ;L45;;;;franaq.l45;
franaqter;FRA-NAQ;D51;;;;franaq.d51;
franaqter;FRA-NAQ;L51;;;;franaq.l51;
franaqter;FRA-NAQ;F51;;;;franaq.f51;
franaqter;FRA-NAQ;D52;;;;franaq.d52;
franaqter;FRA-OCC;D52;;;;fraocc.d52;
franaqter;FRA-NAQ;L52;;;;franaq.l52;
franaqter;FRA-OCC;L52;;;;fraocc.l52;
franaqter;FRA-NAQ;L53;;;;franaq.l53;
franaqter;FRA-OCC;L53;;;;fraocc.l53;
franaqter;FRA-NAQ;L54;;;;franaq.l54;
franaqter;FRA-NAQ;F54;;;;franaq.f54;
franaqter;FRA-NAQ;L55;;;;franaq.l55;
