systemName;route;banner;groupName;roots
franaqter;D11;;;fracvl.d11,franaq.d11
franaqter;L11;;;fracvl.l11,franaq.l11
franaqter;F11;;;franaq.f11
franaqter;L12;;;franaq.l12
franaqter;L13;;;franaq.l13
franaqter;D14;;;franaq.d14
franaqter;L14;;;franaq.l14
franaqter;D15;;;franaq.d15
franaqter;L15;;;franaq.l15
franaqter;F15;;;franaq.f15
franaqter;L16;;;franaq.l16
franaqter;L17;;;franaq.l17
franaqter;L18;;;franaq.l18
franaqter;D22;;;franaq.d22
franaqter;L22;;;franaq.l22
franaqter;L23;;;franaq.l23
franaqter;L23;;Brive branch;franaq.l23bri
franaqter;L24;;;franaq.l24
franaqter;L25;;;franaq.l25,fraara.l25
franaqter;L25;;Felletin branch;franaq.l25fel
franaqter;L26;;;franaq.l26
franaqter;L27;;;franaq.l27
franaqter;F27;;;franaq.f27
franaqter;D31;;;franaq.d31
franaqter;L31;;;franaq.l31
franaqter;L32;;;franaq.l32
franaqter;F32;;;franaq.f32
franaqter;D33;;;franaq.d33
franaqter;L33;;;franaq.l33
franaqter;L34;;;franaq.l34
franaqter;L34;;Sarlat branch;franaq.l34sar
franaqter;F41;;;franaq.f41
franaqter;L42;;;franaq.l42
franaqter;L42;;Pessac branch;franaq.l42pes
franaqter;F42;;;franaq.f42
franaqter;F42;;Bordeaux branch;franaq.f42bor
franaqter;F43;;;franaq.f43
franaqter;D44;;;franaq.d44
franaqter;L44;;;franaq.l44
franaqter;F44;;;franaq.f44
franaqter;D45;;;franaq.d45
franaqter;L45;;;franaq.l45
franaqter;D51;;;franaq.d51
franaqter;L51;;;franaq.l51
franaqter;F51;;;franaq.f51
franaqter;D52;;;franaq.d52,fraocc.d52
franaqter;L52;;;franaq.l52,fraocc.l52
franaqter;L53;;;franaq.l53,fraocc.l53
franaqter;L54;;;franaq.l54
franaqter;F54;;;franaq.f54
franaqter;L55;;;franaq.l55
