systemName;route;banner;groupName;roots
franaqterl;L11;;;fracvl.l11,franaq.l11
franaqterl;L12;;;franaq.l12
franaqterl;L13;;;franaq.l13
franaqterl;L14;;;franaq.l14
franaqterl;L15;;;franaq.l15
franaqterl;L16;;;franaq.l16
franaqterl;L17;;;franaq.l17
franaqterl;L18;;;franaq.l18
franaqterl;L22;;;franaq.l22
franaqterl;L23;;Limoges;franaq.l23
franaqterl;L23;;Brive;franaq.l23bri
franaqterl;L24;;;franaq.l24
franaqterl;L25;;Montlucon;franaq.l25,fraara.l25
franaqterl;L25;;Felletin;franaq.l25fel
franaqterl;L26;;;franaq.l26
franaqterl;L27;;;franaq.l27
franaqterl;L31;;;franaq.l31
franaqterl;L32;;;franaq.l32
franaqterl;L33;;;franaq.l33
franaqterl;L34;;Agen;franaq.l34
franaqterl;L34;;Sarlat;franaq.l34sar
franaqterl;L42;;;franaq.l42
franaqterl;L44;;;franaq.l44
franaqterl;L45;;;franaq.l45
franaqterl;L51;;;franaq.l51
franaqterl;L52;;;franaq.l52,fraocc.l52
franaqterl;L53;;;franaq.l53,fraocc.l53
franaqterl;L54;;;franaq.l54
franaqterl;L55;;;franaq.l55
