systemName;region;route;banner;abbrev;city;root;altRouteNames
frapacter;FRA-PAC;K1;;;;frapac.k01;
frapacter;FRA-PAC;K2;;;;frapac.k02;
frapacter;FRA-PAC;K4;;;;frapac.k04;
frapacter;FRA-ARA;K4;;;;fraara.k04;
frapacter;FRA-PAC;K6;;;;frapac.k06;
frapacter;FRA-PAC;K7;;;;frapac.k07;
frapacter;FRA-PAC;C1;;;;frapac.c01;
frapacter;FRA-PAC;C2;;;;frapac.c02;
frapacter;FRA-PAC;C3;;;;frapac.c03;
frapacter;MCO;C3;;;;mco.c03;
frapacter;FRA-PAC;C3;;Men;Menton;frapac.c03men;
frapacter;ITA-LIG;C3;;;;italig.c03;
frapacter;FRA-PAC;C4;;;;frapac.c04;
frapacter;FRA-PAC;C5;;;;frapac.c05;
frapacter;FRA-PAC;C6;;;;frapac.c06;
frapacter;FRA-PAC;C7;;;;frapac.c07;
frapacter;FRA-PAC;C9;;;;frapac.c09;
frapacter;FRA-PAC;C13;;;;frapac.c13;
frapacter;MCO;C13;;;;mco.c13;
frapacter;FRA-PAC;C13;;Men;Mento;frapac.c13men;
frapacter;FRA-PAC;P1;;;;frapac.p01;
frapacter;FRA-PAC;P3;;;;frapac.p03;
