systemName;region;route;banner;abbrev;city;root;altRouteNames
frapm;FRA-IDF;M1;;;Paris;fraidf.m01;
frapm;FRA-IDF;M2;;;Paris;fraidf.m02;
frapm;FRA-IDF;M3;;;Paris;fraidf.m03;
frapm;FRA-IDF;M3;Bis;;Paris;fraidf.m03bis;
frapm;FRA-IDF;M4;;;Paris;fraidf.m04;
frapm;FRA-IDF;M5;;;Paris;fraidf.m05;
frapm;FRA-IDF;M6;;;Paris;fraidf.m06;
frapm;FRA-IDF;M7;;;Paris;fraidf.m07;
frapm;FRA-IDF;M7;;Vil;Paris, Villejuif;fraidf.m07vil;
frapm;FRA-IDF;M7;Bis;;Paris;fraidf.m07bis;
frapm;FRA-IDF;M8;;;Paris;fraidf.m08;
frapm;FRA-IDF;M9;;;Paris;fraidf.m09;
frapm;FRA-IDF;M10;;;Paris (Gare d’Austerlitz bound);fraidf.m10;
frapm;FRA-IDF;M10;;Bou;Paris (Boulougne bound);fraidf.m10bou;
frapm;FRA-IDF;M11;;;Paris;fraidf.m11;
frapm;FRA-IDF;M12;;;Paris;fraidf.m12;
frapm;FRA-IDF;M13;;;Paris;fraidf.m13;
frapm;FRA-IDF;M13;;StO;Paris, Saint Ouen;fraidf.m13sto;
frapm;FRA-IDF;M14;;;Paris;fraidf.m14;
