systemName;route;banner;groupName;roots
frapm;M1;;Paris;fraidf.m01
frapm;M2;;Paris;fraidf.m02
frapm;M3;;Paris;fraidf.m03
frapm;M3;Bis;Paris;fraidf.m03bis
frapm;M4;;Paris;fraidf.m04
frapm;M5;;Paris;fraidf.m05
frapm;M6;;Paris;fraidf.m06
frapm;M7;;Paris;fraidf.m07
frapm;M7;;Paris, Villejuif;fraidf.m07vil
frapm;M7;Bis;Paris;fraidf.m07bis
frapm;M8;;Paris;fraidf.m08
frapm;M9;;Paris;fraidf.m09
frapm;M10;;Paris (Gare d’Austerlitz bound);fraidf.m10
frapm;M10;;Paris (Boulougne bound);fraidf.m10bou
frapm;M11;;Paris;fraidf.m11
frapm;M12;;Paris;fraidf.m12
frapm;M13;;Paris;fraidf.m13
frapm;M13;;Paris, Saint Ouen;fraidf.m13sto
frapm;M14;;Paris;fraidf.m14
