systemName;region;route;banner;abbrev;city;root;altRouteNames
frarer;FRA-IDF;A;;;Saint-Germain-en-Laye - Marne-la-Vallee-Chessy;fraidf.a;
frarer;FRA-IDF;A;;Boi;Cergy-le-Haut - Boissy-Saint-Leger;fraidf.aboi;
frarer;FRA-IDF;A;;Poi;Poissy - Torcy;fraidf.apoi;
frarer;FRA-IDF;B;;;Aeroport CDG - St Remy Chevreause;fraidf.b;
frarer;FRA-IDF;B;;Mit;Mitry-Claye - Robinson;fraidf.bmit;
frarer;FRA-IDF;C;;;Saint-Quentin-en-Yvelines - Saint-Martin-d'Etampes;fraidf.c;
frarer;FRA-IDF;C;;Dou;Invalides - Doudan La Foret;fraidf.cdou;
frarer;FRA-IDF;C;;Ver;Versailles-Chateau-Rive-Gauche - Juvisy;fraidf.cver;
frarer;FRA-IDF;C;;Pon;Pontoise - Massy Palaiseau;fraidf.cpon;
frarer;FRA-HDF;D;;;Creil - Corbeil-Essones;frahdf.d;
frarer;FRA-IDF;D;;;Creil - Corbeil-Essones;fraidf.d;
frarer;FRA-IDF;D;;Mel;Goussainville - Melun;fraidf.dmel;
frarer;FRA-IDF;D;;Mal;Juvisy - Malesherbes;fraidf.dmal;
frarer;FRA-CVL;D;;;Juvisy - Malesherbes;fracvl.d;
frarer;FRA-IDF;D;;Pon;Juvisy - Melun;fraidf.dpon;
frarer;FRA-IDF;E;;;Nanterre La Folie - Tournan;fraidf.e;
frarer;FRA-IDF;E;;Che;Nanterre La Folie - Chelles-Gournay;fraidf.eche;
