systemName;region;route;banner;abbrev;city;root;altRouteNames
fratgv;BEL;BruBor;;;Brussels - Bordeaux;bel.brubor;
fratgv;FRA-HDF;BruBor;;;Brussels - Bordeaux;frahdf.brubor;
fratgv;FRA-IDF;BruBor;;;Brussels - Bordeaux;fraidf.brubor;
fratgv;FRA-CVL;BruBor;;;Brussels - Bordeaux;fracvl.brubor;
fratgv;FRA-NAQ;BruBor;;;Brussels - Bordeaux;franaq.brubor;
fratgv;BEL;BruMar;;;Brussels - Marseille;bel.brumar;
fratgv;FRA-HDF;BruMar;;;Brussels - Marseille;frahdf.brumar;
fratgv;FRA-IDF;BruMar;;;Brussels - Marseille;fraidf.brumar;
fratgv;FRA-BFC;BruMar;;;Brussels - Marseille;frabfc.brumar;
fratgv;FRA-ARA;BruMar;;;Brussels - Marseille;fraara.brumar;
fratgv;FRA-PAC;BruMar;;Lap;Brussels - Marseille (Lapalud);frapac.brumarlap;
fratgv;FRA-OCC;BruMar;;Ven;Brussels - Marseille (Venejan);fraocc.brumarven;
fratgv;FRA-PAC;BruMar;;Mor;Brussels - Marseille (Mornas);frapac.brumarmor;
fratgv;FRA-OCC;BruMar;;SES;Brussels - Marseille (Saint-Etienne-des-Sorts);fraocc.brumarses;
fratgv;FRA-PAC;BruMar;;Ora;Brussels - Marseille (Orange);frapac.brumarora;
fratgv;FRA-OCC;BruMar;;Vil;Brussels - Marseille (Villeneuve-les-Avignon);fraocc.brumarvil;
fratgv;FRA-PAC;BruMar;;;Brussels - Marseille;frapac.brumar;
fratgv;BEL;BruMon;;;Brussels - Montpellier;bel.brumon;
fratgv;FRA-HDF;BruMon;;;Brussels - Montpellier;frahdf.brumon;
fratgv;FRA-IDF;BruMon;;;Brussels - Montpellier;fraidf.brumon;
fratgv;FRA-BFC;BruMon;;;Brussels - Montpellier;frabfc.brumon;
fratgv;FRA-ARA;BruMon;;;Brussels - Montpellier;fraara.brumon;
fratgv;FRA-PAC;BruMon;;Lap;Brussels - Montpellier (Lapalud);frapac.brumonlap;
