systemName;route;banner;groupName;roots
fratra;H;;Pontoise;fraidf.h
fratra;H;;Persan Beaumont via Valmondois;fraidf.hval
fratra;H;;Persan-Beaumont via Montsoult-Maffliers;fraidf.hper
fratra;H;;Luzarches;fraidf.hluz
fratra;H;;Transversal;fraidf.htra,frahdf.h
fratra;J;;Gisors;fraidf.j,frahdf.j,franor.j
fratra;J;;Ermont-Eaubonne;fraidf.jerm
fratra;J;;Mantes-la-Jolie via Juziers;fraidf.jjuz
fratra;J;;Vernon;fraidf.jver,franor.jver
fratra;K;;;fraidf.k,frahdf.k
fratra;L;;Versailles-Rive-Droite;fraidf.l
fratra;L;;Cergy-le-Haut;fraidf.lcer
fratra;L;;Saint-Nom-la-Breteche;fraidf.lmar
fratra;N;;Mantes-la-Jolie;fraidf.n
fratra;N;;Ramboullet;fraidf.nram
fratra;N;;Dreux;fraidf.ndre,fracvl.n
fratra;P;;Chateau-Thierry;fraidf.p,frahdf.p
fratra;P;;La Ferte Milon;fraidf.pfer,frahdf.pfer
fratra;P;;Coulommiers;fraidf.pcou
fratra;P;;Provins;fraidf.ppro
fratra;R;;Montargis;fraidf.r,fracvl.r
fratra;R;;Montereau;fraidf.rmon
fratra;R;;Melun - Montereau;fraidf.rcha
fratra;U;;;fraidf.u
fratra;V;;;fraidf.v
