systemName;route;banner;groupName;roots
gbnem;MML;;Midland Mainline (Sheffield);eng.mmlshe
gbnem;MML;;Midland Mainline (Nottingham);eng.mmlnot
gbnem;LutAirExp;;Luton Airport Express;eng.lutairexp
gbnem;BarLn;;Barton Line;eng.barln
gbnem;CasLn;;Castle Line;eng.casln
gbnem;DerVlyLn;;Derwent Valley Line;eng.dervlyln
gbnem;ImpsLn;;Imps Line;eng.impsln
gbnem;LivNorLn;;Liverpool-Norwich Line;eng.livnorln
gbnem;NorStaLn;;North Staffordshire Line;eng.norstaln
gbnem;PoaLn;;Poacher Line;eng.poaln
gbnem;RedLn;;Redwing Line;eng.redln
gbnem;RobHoodLn;;Robin Hood Line;eng.robhoodln
gbnem;RomLn;;Roman Line;eng.romln
