systemName;region;route;banner;abbrev;city;root;altRouteNames
gbngw;ENG;GWML;;;Great Western Main Line;eng.gwml;
gbngw;ENG;SWalML;;;South Wales Main Line;eng.swalml;
gbngw;WLS;SWalML;;;South Wales Main Line;wls.swalml;
gbngw;ENG;DevML;;;Devon Main Line;eng.devml;
gbngw;ENG;CotLn;;;Cotswolds Line;eng.cotln;
gbngw;ENG;OxfLn;;;Oxford Line;eng.oxfln;
gbngw;ENG;BerHanLn;;;Berks & Hants Line;eng.berhanln;
gbngw;ENG;GolVlyLn;;;Golden Valley Line;eng.golvlyln;
gbngw;WLS;CorML;;;Cornish Main Line;wls.corml;
gbngw;ENG;CorML;;;Cornish Main Line;eng.corml;
gbngw;WLS;WesML;;;Wessex Mainline;wls.wesml;
gbngw;ENG;WesML;;;Wessex Mainline;eng.wesml;
gbngw;ENG;ThaVlyLn;;;Thames Valley Line;eng.thavlyln;
gbngw;ENG;KenVlyLn;;;Kennet Valley Line;eng.kenvlyln;
gbngw;ENG;GreBra;;;Greenford Branch;eng.grebra;
gbngw;ENG;WinBra;;;Windsor Branch;eng.winbra;
gbngw;ENG;MarBra;;;Marlow Branch;eng.marbra;
gbngw;ENG;RegLn;;;Regatta Line;eng.regln;
gbngw;ENG;NorDowLn;;;North Downs Line;eng.nordowln;
gbngw;ENG;BruLn;;;Brunel Line;eng.bruln;
gbngw;ENG;NewLn;;;Newbury Line;eng.newln;
gbngw;ENG;OxCanLn;;;Oxford Canal Line;eng.oxfcanln;
gbngw;ENG;TraWilLn;;;Trans-Wilts Line;eng.trawilln;
gbngw;ENG;AvonVlyLn;;;Avon Valley Line;eng.avonvlyln;
gbngw;ENG;SevVlyLn;;;Severn Valley Line;eng.sevvlyln;
gbngw;ENG;FilLn;;;Filton Line;eng.filln;
gbngw;ENG;HeaWesLn;;;Heart of Wessex Line;eng.heawesln;
gbngw;ENG;SevLn;;;Severnside Line;eng.sevln;
gbngw;ENG;SevBeaLn;;;Severn Beach Line;eng.sevbealn;
gbngw;ENG;AvoLn;;;Avocet Line;eng.avoln;
gbngw;ENG;TarLn;;;Tarka Line;eng.tarln;
gbngw;ENG;DarLn;;;Dartmoor Line;eng.darln;
gbngw;ENG;RivLn;;;Riveria Line;eng.rivln;
gbngw;ENG;TamVlyLn;;;Tamar Valley Line;eng.tamvlyln;
gbngw;ENG;LooeVlyLn;;;Looe Valley Line;eng.looevlyln;
gbngw;ENG;AtlCoaLn;;;Atlantic Coast Line;eng.atlcoaln;
gbngw;ENG;MrtLn;;;Maritime Line;eng.mrtln;
gbngw;ENG;SIBLn;;;St Ives Bay Line;eng.sibln;
