systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnlu;ENG;BakLn;;;Bakerloo Line;eng.bakln;
gbnlu;ENG;CenLn;;;Central Line (West Ruislip - Epping);eng.cenln;
gbnlu;ENG;CenLn;;Eal;Central Line (Ealing - Hainault - Woodford);eng.cenlneal;
gbnlu;ENG;CirLn;;;Circle Line;eng.cirln;
gbnlu;ENG;DisLn;;;District Line (Richmond - Upminster);eng.disln;
gbnlu;ENG;DisLn;;Eal;District Line (Ealing - Upminster);eng.dislneal;
gbnlu;ENG;DisLn;;Wim;District Line (Wimbledon - Barking);eng.dislnwim;
gbnlu;ENG;DisLn;;Edg;District Line (Wimbledon - Edgware Road);eng.dislnedg;
gbnlu;ENG;DisLn;;Oly;District Line (Olympia);eng.dislnoly;
gbnlu;ENG;HaCLn;;;Hammersmith & City Line;eng.hacln;
gbnlu;ENG;JubLn;;;Jubilee Line;eng.jubln;
gbnlu;ENG;MetLn;;Ame;Metropolitan Line (Amersham);eng.metlname;
gbnlu;ENG;MetLn;;;Metropolitan Line (Chesham);eng.metln;
gbnlu;ENG;MetLn;;Uxb;Metropolitan Line (Uxbridge);eng.metlnuxb;
gbnlu;ENG;MetLn;;Wat;Metropolitan Line (Watford);eng.metlnwat;
gbnlu;ENG;NorLn;;Bar;Northern Line (Barnet - Bank - Morden);eng.norlnbar;
gbnlu;ENG;NorLn;;Bat;Northern Line (Barnet - Charing Cross - Battersea);eng.norlnbat;
gbnlu;ENG;NorLn;;;Northern Line (Edgware - Bank - Morden);eng.norln;
gbnlu;ENG;NorLn;;Edg;Northern Line (Edgware - Charing Cross - Kennington);eng.norlnedg;
gbnlu;ENG;NorLn;;Mor;Northern Line (Mill Hill East - Bank - Morden);eng.norlnmor;
gbnlu;ENG;NorLn;;MHE;Northern Line (Mill Hill East - Charing Cross - Battersea);eng.norlnmhe;
gbnlu;ENG;PicLn;;HT4;Piccadilly Line (Heathrow Terminal 4);eng.piclnht4;
gbnlu;ENG;PicLn;;;Piccadilly Line (Heathrow Terminal 5);eng.picln;
gbnlu;ENG;PicLn;;Uxb;Piccadilly Line (Uxbridge);eng.piclnuxb;
gbnlu;ENG;VicLn;;;Victoria Line;eng.vicln;
gbnlu;ENG;WaCLn;;;Waterloo & City Line;eng.wacln;
