systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnnr;ENG;NESF;;;North East Semi-Fast;eng.nesf;
gbnnr;ENG;ECML;;Mor;East Coast Main Line (Morpeth);eng.ecmlmor;
gbnnr;ENG;NhbLn;;;Northumberland Line;eng.nhbln;
gbnnr;ENG;TyneVlyLn;;;Tyne Valley Line;eng.tynevlyln;
gbnnr;ENG;DurCoaLn;;;Durham Coast Line;eng.durcoaln;
gbnnr;ENG;EskVlyLn;;;Esk Valley Line;eng.eskvlyln;
gbnnr;ENG;TeesVlyLn;;;Tees Valley Line;eng.teesvlyln;
gbnnr;ENG;BenLn;;;Bentham Line;eng.benln;
gbnnr;ENG;CumCoaLn;;;Cumbrian Coast Line;eng.cumcoaln;
gbnnr;ENG;FurLn;;;Furness Line;eng.furln;
gbnnr;ENG;LakLn;;;Lakes Line;eng.lakln;
gbnnr;ENG;SaCLn;;;Settle - Carlisle Line;eng.sacln;
gbnnr;ENG;CalLn;;;Calderdale Line;eng.calln;
gbnnr;ENG;EreVlyLn;;;Erewash Valley Line;eng.erevlyln;
gbnnr;ENG;LinLn;;;Lincoln Line;eng.linln;
gbnnr;ENG;PilLn;;;Pilgrim Line;eng.pilln;
gbnnr;ENG;RosLn;;;Roses Line;eng.rosln;
gbnnr;ENG;YorCoaLn;;;Yorkshire Coast Line;eng.yorcoaln;
gbnnr;ENG;YorWolLn;;;Yorkshire Wolds Line;eng.yorwolln;
gbnnr;ENG;AdlLn;;Bra;Airedale Line (Bradford);eng.adllnbra;
gbnnr;ENG;AdlLn;;Lee;Airedale Line (Leeds);eng.adllnlee;
gbnnr;ENG;DeaVlyLn;;;Dearne Valley Line;eng.deavlyln;
gbnnr;ENG;HalLn;;;Hallam Line;eng.halln;
gbnnr;ENG;HarLn;;;Harrogate Line;eng.harln;
gbnnr;ENG;HudLn;;;Huddersfield Line;eng.hudln;
gbnnr;ENG;LeeBraLn;;;Leeds - Bradford Line;eng.leebraln;
gbnnr;ENG;PenLn;;;Penistone Line;eng.penln;
gbnnr;ENG;PonLn;;Cas;Pontefract Line (Castleford);eng.ponlncas;
gbnnr;ENG;PonLn;;Wak;Pontefract Line (Wakefield);eng.ponlnwak;
gbnnr;ENG;RotLn;;;Rotherham Line;eng.rotln;
gbnnr;ENG;SelLn;;;Selby Line;eng.selln;
gbnnr;ENG;SouHumLn;;;South Humberside Line;eng.souhumln;
gbnnr;ENG;WakLn;;Don;Wakefield Line (Doncaster);eng.waklndon;
gbnnr;ENG;WakLn;;She;Wakefield Line (Sheffield);eng.waklnshe;
gbnnr;ENG;WakLn;;Fas;Yorkshire Flyer;eng.waklnfas;
gbnnr;ENG;WhaLn;;Bra;Wharfdale Line (Bradford);eng.whalnbra;
gbnnr;ENG;WhaLn;;Lee;Wharfedale Line (Leeds);eng.whalnlee;
gbnnr;ENG;YorkLn;;;York Line;eng.yorkln;
gbnnr;ENG;AirLn;;;Airport Line;eng.airln;
gbnnr;ENG;AthLn;;;Atherton Line;eng.athln;
gbnnr;ENG;BlaLn;;;Blackpool Line;eng.blaln;
gbnnr;ENG;BuxLn;;;Buxton Line;eng.buxln;
gbnnr;ENG;CalVlyLn;;;Calder Valley Line;eng.calvlyln;
gbnnr;ENG;ChatMossLn;;;Chat Moss Line;eng.chatmossln;
gbnnr;ENG;CityLn;;;City Line;eng.cityln;
gbnnr;ENG;CLCLn;;;CLC Line;eng.clcln;
gbnnr;ENG;CreLn;;;Crewe Line;eng.creln;
gbnnr;ENG;EastLanLn;;;East Lancashire Line;eng.eastlanln;
gbnnr;ENG;GloLn;;;Glossop Line;eng.gloln;
gbnnr;ENG;HopeVlyLn;;;Hope Valley Line;eng.hopevlyln;
gbnnr;ENG;MplLn;;;Marple Line;eng.mplln;
gbnnr;ENG;MidCheLn;;;Mid-Cheshire Line;eng.midcheln;
gbnnr;ENG;NorCheLn;;;North Cheshire Line;eng.norcheln;
gbnnr;ENG;RibVlyLn;;;Ribble Valley Line;eng.ribvlyln;
gbnnr;ENG;SouFylLn;;;South Fylde Line;eng.soufylln;
gbnnr;ENG;SptLn;;;Southport Line;eng.sptln;
gbnnr;ENG;StaLn;;;Stalybridge Line;eng.staln;
gbnnr;ENG;StoLn;;;Stoke Line;eng.stoln;
gbnnr;ENG;StoStaLn;;;Stockport - Stalybridge Line;eng.stostaln;
gbnnr;ENG;WestLanLn;;;West Lancashire Line;eng.westlanln;
