systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnse;ENG;HS1;;Can;Southeastern Highspeed (London - Canterbury - Margate);eng.hs1can;CanWLn
gbnse;ENG;HS1;;Dov;Southeastern Highspeed (London - Dover - Ramsgate);eng.hs1dov;WhiCliLn
gbnse;ENG;HS1;;Cha;Southeastern Highspeed (London - Chatham - Ramsgate);eng.hs1cha;KentCoaLn
gbnse;ENG;SEML;;;South East Main Line;eng.seml;
gbnse;ENG;PadWoodLn;;;Paddock Wood Line;eng.padwoodln;
gbnse;ENG;HasLn;;;Hastings Line;eng.hasln;1066Ln
gbnse;ENG;ChaML;;;Chatham Main Line;eng.chaml;
gbnse;ENG;ThaLn;;;Thanet Line;eng.thaln;CreCoaLn
gbnse;ENG;SoleStLn;;;Sole Street Line;eng.solestln;
gbnse;ENG;KentDowLn;;;Kent Downs Line;eng.kentdowln;
gbnse;ENG;MaiELn;;;Maidstone East Line;eng.maieln;
gbnse;ENG;MedVlyLn;;;Medway Valley Line;eng.medvlyln;
gbnse;ENG;SwaLn;;;Swale Line;eng.swaln;
gbnse;ENG;NKentLn;;;North Kent Line;eng.nkentln;
gbnse;ENG;WooLn;;;Woolwich Line;eng.wooln;
gbnse;ENG;BexLn;;;Bexleyheath Line;eng.bexln;
gbnse;ENG;SidLn;;;Sidcup Line (Gravesend);eng.sidln;
gbnse;ENG;SidLn;;Lew;Sidcup Line (Lewisham);eng.sidlnlew;
gbnse;ENG;GroPkLn;;;Grove Park Line (Cannon Street);eng.gropkln;
gbnse;ENG;GroPkLn;;Lew;Grove Park Line (Lewisham);eng.gropklnlew;
gbnse;ENG;HayLn;;;Hayes Line;eng.hayln;
gbnse;ENG;HayLn;;Lew;Hayes Line (Lewisham);eng.haylnlew;
gbnse;ENG;BroSLn;;;Bromley South Line;eng.brosln;
gbnse;ENG;BroNLn;;;Bromley North Line;eng.bronln;
