systemName;region;route;banner;abbrev;city;root;altRouteNames
gbntp;ENG;TPASRte;;;TransPennine Anglo-Scottish Route (Manchester - Edinburgh);eng.tpasrte;
gbntp;SCT;TPASRte;;;TransPennine Anglo-Scottish Route (Manchester - Edinburgh);sct.tpasrte;
gbntp;ENG;TPASRte;;Gla;TransPennine Anglo-Scottish Route (Manchester - Glasgow);eng.tpasrtegla;
gbntp;SCT;TPASRte;;Gla;TransPennine Anglo-Scottish Route (Manchester - Glasgow);sct.tpasrtegla;
gbntp;ENG;TPBRte;;;TransPennine Borders Route;eng.tpbrte;
gbntp;SCT;TPBRte;;;TransPennine Borders Route;sct.tpbrte;
gbntp;ENG;TPNRte;;;TransPennine North Route (Liverpool - Newcastle);eng.tpnrte;
gbntp;ENG;TPNRte;;Hul;TransPennine North Route (Liverpool - Hull);eng.tpnrtehul;
gbntp;ENG;TPNRte;;Tee;TransPennine North Route (Manchester - Saltburn);eng.tpnrtetee;
gbntp;ENG;TPNRte;;Pic;TransPennine North Route (Manchester - York);eng.tpnrtepic;
gbntp;ENG;TPNRte;;Sca;TransPennine North Route (Manchester - Scarborough);eng.tpnrtesca;
gbntp;ENG;TPSRte;;;TransPennine South Route;eng.tpsrte;
