systemName;region;route;banner;abbrev;city;root;altRouteNames
gbnwm;ENG;MalLn;;;Malvern Line;eng.malln;
gbnwm;ENG;SalLn;;;Salopian Line (Smethwick Galton Bridge);eng.salln;
gbnwm;ENG;SalLn;;Bes;Salopian Line (Bescot Stadium);eng.sallnbes;
gbnwm;ENG;BCLn;;;Black Country Line;eng.bcln;
gbnwm;ENG;ChaLn;;;Chase Line;eng.chaln;
gbnwm;ENG;EleBearLn;;;Elephant & Bear Line;eng.elebearln;
gbnwm;ENG;ShaLn;;;Shakespeare Line;eng.shaln;
gbnwm;ENG;StoShu;;;Stourbridge Shuttle;eng.stoshu;StoBra
gbnwm;ENG;WyreVlyLn;;;Wyre Valley Line;eng.wyrevlyln;
gbnwm;ENG;XCLn;;;Cross-City Line;eng.xcln;
gbnwm;ENG;XCLn;;Bro;Cross-City Line (Bromsgrove branch);eng.xclnbro;
