systemName;region;route;banner;abbrev;city;root;altRouteNames
hrvzt;HRV;1;;Zag;Zagreb;hrv.01zag;
hrvzt;HRV;2;;Zag;Zagreb;hrv.02zag;
hrvzt;HRV;3;;Zag;Zagreb;hrv.03zag;
hrvzt;HRV;4;;Zag;Zagreb;hrv.04zag;
hrvzt;HRV;5;;Zag;Zagreb;hrv.05zag;
hrvzt;HRV;6;;Zag;Zagreb;hrv.06zag;
hrvzt;HRV;7;;Zag;Zagreb;hrv.07zag;
hrvzt;HRV;8;;Zag;Zagreb;hrv.08zag;
hrvzt;HRV;9;;Zag;Zagreb;hrv.09zag;
hrvzt;HRV;11;;Zag;Zagreb;hrv.11zag;
hrvzt;HRV;12;;Zag;Zagreb;hrv.12zag;
hrvzt;HRV;13;;Zag;Zagreb;hrv.13zag;
hrvzt;HRV;14;;Zag;Zagreb;hrv.14zag;
hrvzt;HRV;15;;Zag;Zagreb;hrv.15zag;
hrvzt;HRV;17;;Zag;Zagreb;hrv.17zag;
