systemName;region;route;banner;abbrev;city;root;altRouteNames
hunbt;HUN;1;;Bud;Budapest;hun.01bud;
hunbt;HUN;1A;;Bud;Budapest;hun.01abud;
hunbt;HUN;2;;Bud;Budapest;hun.02bud;
hunbt;HUN;2B;;Pac;Budapest (Pacsirtatelep bound);hun.02bpac;
hunbt;HUN;2B;;Bud;Budapes (Lipótváros bound)t;hun.02bbud;
hunbt;HUN;3;;Bud;Budapest;hun.03bud;
hunbt;HUN;4;;Bud;Budapest;hun.04bud;
hunbt;HUN;6;;Bud;Budapest;hun.06bud;
hunbt;HUN;12;;Bud;Budapest;hun.12bud;
hunbt;HUN;14;;Bud;Budapest;hun.14bud;
hunbt;HUN;17;;Bud;Budapest;hun.17bud;
hunbt;HUN;19;;Bud;Budapest;hun.19bud;
hunbt;HUN;23;;Bud;Budapest;hun.23bud;
hunbt;HUN;24;;Bud;Budapest;hun.24bud;
hunbt;HUN;28;;Bud;Budapest;hun.28bud;
hunbt;HUN;28A;;Bud;Budapest;hun.28abud;
hunbt;HUN;37;;Bud;Budapest;hun.37bud;
hunbt;HUN;37A;;Bud;Budapest;hun.37abud;
hunbt;HUN;41;;Bud;Budapest;hun.41bud;
hunbt;HUN;42;;Bud;Budapest;hun.42bud;
hunbt;HUN;47;;Bud;Budapest;hun.47bud;
hunbt;HUN;48;;Bud;Budapest;hun.48bud;
hunbt;HUN;49;;Bud;Budapest;hun.49bud;
hunbt;HUN;50;;Bud;Budapest;hun.50bud;
hunbt;HUN;51;;Erz;Budapest (Erzsébetfalva bound);hun.51erz;
hunbt;HUN;51;;Bud;Budapest (Középső-Ferencváros bound);hun.51bud;
hunbt;HUN;51A;;Bud;Budapest;hun.51abud;
hunbt;HUN;52;;Pac;Budapest (Pacsirtatelep bound);hun.52pac;
hunbt;HUN;52;;Bud;Budapest (Wekerletelep bound);hun.52bud;
hunbt;HUN;56;;Bud;Budapest;hun.56bud;
hunbt;HUN;56A;;Bud;Budapest;hun.56abud;
hunbt;HUN;59;;Bud;Budapest;hun.59bud;
hunbt;HUN;59A;;Bud;Budapest;hun.59abud;
hunbt;HUN;59B;;Bud;Budapest;hun.59bbud;
hunbt;HUN;60;;Bud;Budapest;hun.60bud;
hunbt;HUN;61;;Bud;Budapest;hun.61bud;
hunbt;HUN;62;;Bud;Budapest;hun.62bud;
hunbt;HUN;62A;;Bud;Budapest;hun.62abud;
hunbt;HUN;69;;Bud;Budapest;hun.69bud;
