systemName;route;banner;groupName;roots
hunbt;1;Bud;Budapest;hun.01bud
hunbt;1A;Bud;Budapest;hun.01abud
hunbt;2;Bud;Budapest;hun.02bud
hunbt;2B;Pac;Budapest (Pacsirtatelep bound);hun.02bpac
hunbt;2B;Bud;Budapes (Lipótváros bound)t;hun.02bbud
hunbt;3;Bud;Budapest;hun.03bud
hunbt;4;Bud;Budapest;hun.04bud
hunbt;6;Bud;Budapest;hun.06bud
hunbt;12;Bud;Budapest;hun.12bud
hunbt;14;Bud;Budapest;hun.14bud
hunbt;17;Bud;Budapest;hun.17bud
hunbt;19;Bud;Budapest;hun.19bud
hunbt;23;Bud;Budapest;hun.23bud
hunbt;24;Bud;Budapest;hun.24bud
hunbt;28;Bud;Budapest;hun.28bud
hunbt;28A;Bud;Budapest;hun.28abud
hunbt;37;Bud;Budapest;hun.37bud
hunbt;37A;Bud;Budapest;hun.37abud
hunbt;41;Bud;Budapest;hun.41bud
hunbt;42;Bud;Budapest;hun.42bud
hunbt;47;Bud;Budapest;hun.47bud
hunbt;48;Bud;Budapest;hun.48bud
hunbt;49;Bud;Budapest;hun.49bud
hunbt;50;Bud;Budapest;hun.50bud
hunbt;51;Erz;Budapest (Erzsébetfalva bound);hun.51erz
hunbt;51;Bud;Budapest (Középső-Ferencváros bound);hun.51bud
hunbt;51A;Bud;Budapest;hun.51abud
hunbt;52;Pac;Budapest (Pacsirtatelep bound);hun.52pac
hunbt;52;Bud;Budapest (Wekerletelep bound);hun.52bud
hunbt;56;Bud;Budapest;hun.56bud
hunbt;56A;Bud;Budapest;hun.56abud
hunbt;59;Bud;Budapest;hun.59bud
hunbt;59A;Bud;Budapest;hun.59abud
hunbt;59B;Bud;Budapest;hun.59bbud
hunbt;60;Bud;Budapest;hun.60bud
hunbt;61;Bud;Budapest;hun.61bud
hunbt;62;Bud;Budapest;hun.62bud
hunbt;62A;Bud;Budapest;hun.62abud
hunbt;69;Bud;Budapest;hun.69bud
