systemName;region;route;banner;abbrev;city;root;altRouteNames
jpmono;JPN;ChiMon1;;;Chiba Monorail Line 1;jpmno.chiba1;
jpmono;JPN;ChiMon2;;;Chiba Monorail Line 2;jpmno.chiba2;
jpmono;JPN;DisMon;;;Disney Resort Monorail;jpmno.disney;
jpmono;JPN;KitaKyuMon;;;Kitakyushu Monorail;jpmno.kitakyushu;
jpmono;JPN;OkiMon;;;Okinawa Monorail;jpmno.okinawa;
jpmono;JPN;OsaMon;;;Osaka Main Monorail;jpmno.osakamain;
jpmono;JPN;OsaSaiMon;;;Osaka Saito Monorail;jpmno.osakasaito;
jpmono;JPN;ShoMon;;;Shonan Monorail;jpmno.shonan;
jpmono;JPN;SkyMon;;;Skyrail Monorail;jpmno.skyrail;
jpmono;JPN;TamaMon;;;Tama Toshi Monorail;jpmno.tamatoshi;
jpmono;JPN;TokMon;;;Tokyo Monorail;jpmno.tokyo;


