systemName;route;banner;groupName;roots
jpnfuni;AmanoFn;;Amanohashidate Cable Car;jpn.fnamanoha
jpnfuni;EizanFn;;Eizan Cable;jpn.fneizan
jpnfuni;HakoneFn;;Hakone Tozan Cable Car;jpn.fnhakone
jpnfuni;IkomaFn;;Kintetsu Ikoma Cable;jpn.fnikoma
jpnfuni;IwashiFn;;Iwashimizu-Hachimangu Cable;jpn.fniwashimizu
jpnfuni;JukkoFn;;Jukkokutoge Cable Car;jpn.fnjukkoku
jpnfuni;KoyaFn;;Koyasan Cable Car;jpn.fnkoyasan
jpnfuni;KuraFn;;Kuramadera Cable;jpn.fnkuramadera
jpnfuni;KurobeFn;;Kurobe Cable Car;jpn.fnkurobe
jpnfuni;MayaFn;;Maya Cablecar;jpn.fnmaya
jpnfuni;MitakeFn;;Mitake Tozan Cable;jpn.fnmitake
jpnfuni;NishiFn;;Kintetsu Nishi-Shigi Cable;jpn.fnnishishigi
jpnfuni;OyamaFn;;Oyama Cable Car;jpn.fnoyama
jpnfuni;RakuFn;;Beppu Rakutenchi Cable;jpn.fnrakutenchi
jpnfuni;RokkoFn;;Rokko Cable;jpn.fnrokko
jpnfuni;SakaFn;;Sakamoto Cable;jpn.fnsakamoto
jpnfuni;SarakuFn;;Sarakurayama Cable Car;jpn.fnsarakurayama
jpnfuni;TakaoFn;;Takao Tozan Cable;jpn.fntakao
jpnfuni;TappiFn;;Seikan Tunnel Tappi Shako Line;jpn.fntappishako
jpnfuni;TateFn;;Tateyama Cable Car;jpn.fntateyama
jpnfuni;TsukuFn;;Mt Tsuruba Cable Car;jpn.fntsukuba
jpnfuni;YakuriFn;;Yakuri Cable;jpn.fnyakuri
