systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnjre;JPN;AgatsumaLn;;;Agatsuma Line;jpn.agatsuma;
jpnjre;JPN;AterazawaLn;;;Aterazawa Line;jpn.aterazawa;
jpnjre;JPN;BanetsuEastLn;;;Banetsu East Line;jpn.banetsueast;
jpnjre;JPN;BanetsuWestLn;;;Banetsu West Line;jpn.banetsuwest;
jpnjre;JPN;ChuoLnE;;;Chūō Line East;jpn.chuoeast;
jpnjre;JPN;ChuoOkayaLn;;;Chūō Okaya Branch Line;jpn.chuookaya;
jpnjre;JPN;ChuoRapidLn;;;Chūō (Rapid) Line;jpn.chuorapid;
jpnjre;JPN;ChuoSobuLn;;;Chūō-Sōbu Line;jpn.chuosobu;
jpnjre;JPN;EchigoLn;;;Echigo Line;jpn.echigo;
jpnjre;JPN;GonoLn;;;Gono Line;jpn.gono;
jpnjre;JPN;HachikoLn;;;Hachiko Line;jpn.hachiko;
jpnjre;JPN;HachinoheLn;;;Hachinohe Line;jpn.hachinohe;
jpnjre;JPN;HakushinLn;;;Hakushin Line;jpn.hakushin;
jpnjre;JPN;HanawaLn;;;Hanawa Line;jpn.hanawa;
jpnjre;JPN;HitachiOtaLn;;;Suigun Hitachi-Ota Branch Line;jpn.suigunhitachi;
jpnjre;JPN;IiyamaLn;;;Iiyama Line;jpn.iiyama;
jpnjre;JPN;IshinomakiLn;;;Ishinomaki Line;jpn.ishinomaki;
jpnjre;JPN;ItoLn;;;Ito Line;jpn.ito;
jpnjre;JPN;ItsukaichiLn;;;Itsukaichi Line;jpn.itsukaichi;
jpnjre;JPN;JobanLn;;;Joban Line;jpn.joban;
jpnjre;JPN;JobanRapidLn;;;Joban Rapid Line;jpn.jobanrapid;
jpnjre;JPN;JoetsuLn;;;Joetsu Line;jpn.joetsumain;
jpnjre;JPN;KamaishiLn;;;Kamaishi Line;jpn.kamaishi;
jpnjre;JPN;KarasuyamaLn;;;Karasuyama Line;jpn.karasuyama;
jpnjre;JPN;KashimaLn;;;Kashima Line;jpn.kashima;
jpnjre;JPN;KawagoeLn;;;Kawagoe Line;jpn.kawagoe;
jpnjre;JPN;KeihinTohokuLn;;;Keihin-Tohoku Line;jpn.keihintohoku;
jpnjre;JPN;KeiyoLn;;;Keiyo Line;jpn.keiyo;
jpnjre;JPN;KesennumaLn;;;Kesennuma Line;jpn.kesennuma;
jpnjre;JPN;KitakamiLn;;;Kitakami Line;jpn.kitakami;
jpnjre;JPN;KoumiLn;;;Koumi Line;jpn.koumi;
jpnjre;JPN;KururiLn;;;Kururi Line;jpn.kururi;
jpnjre;JPN;MitoLn;;;Mito Line;jpn.mito;
jpnjre;JPN;MusashinoLn;;;Musashino Line;jpn.musashino;
jpnjre;JPN;NambuLn;;;Nambu Line;jpn.nambu;
