systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnjrh;JPN;ChitoseLn;;;Chitose Line;jpn.chitose;
jpnjrh;JPN;ChitoseAirLn;;;Chitose Airport Branch Line;jpn.chitoseair;
jpnjrh;JPN;FuranoLn;;;Furano Line;jpn.furano;
jpnjrh;JPN;HakodateLn;;;Hakodate Line;jpn.hakodate;
jpnjrh;JPN;SawaraLn;;;Hakodate Sawara Branch Line;jpn.hakosawara;
jpnjrh;JPN;HidakaLn;;;Hidaka Line;jpn.hidaka;
jpnjrh;JPN;MuroranLn;;;Muroran Line;jpn.muroran;
jpnjrh;JPN;MuroranCityLn;;;Muroran City Branch Line;jpn.murorancity;
jpnjrh;JPN;NemuroLn;;E;Nemuro Line East;jpn.nemuroeast;NemuroLnE
jpnjrh;JPN;NemuroLn;;W;Nemuro Line West;jpn.nemurowest;NemuroLnW
jpnjrh;JPN;RumoiLn;;;Rumoi Line;jpn.rumoi;
jpnjrh;JPN;SasshoLn;;;Sassho Line;jpn.sassho;
jpnjrh;JPN;SekihokuLn;;;Sekihoku Line;jpn.sekihoku;
jpnjrh;JPN;SekishoLn;;;Sekisho Line;jpn.sekisho;
jpnjrh;JPN;SenmoLn;;;Senmo Line;jpn.senmo;
jpnjrh;JPN;SoyaLn;;;Soya Line;jpn.soya;
