systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnjrsks;JPN;AkitaShin;;;Akita Shinkansen;jpn.akita;
jpnjrsks;JPN;HokkaidoShin;;;Hokkaido Shinkansen;jpn.hokkaido;
jpnjrsks;JPN;HokurikuShin;;;Hokuriku Shinkansen;jpn.hokuriku;
jpnjrsks;JPN;JoetsuShin;;;Joetsu Shinkansen;jpn.joetsu;
jpnjrsks;JPN;JoetsuShin;;Yu;Joetsu Shinkansen (to Gala-Yuzawa);jpn.galayuzawa;
jpnjrsks;JPN;KyushuShin;;;Kyushu Shinkansen;jpn.kyushu;
jpnjrsks;JPN;SanyoShin;;;Sanyo Shinkansen;jpn.sanyo;
jpnjrsks;JPN;TokaidoShin;;;Tokaido Shinkansen;jpn.tokaido;
jpnjrsks;JPN;TohokuShin;;;Tohoku Shinkansen;jpn.tohoku;
jpnjrsks;JPN;WestKyushuShin;;;West Kyushu Shinkansen;jpn.westkyushu;
jpnjrsks;JPN;YamagataShin;;;Yamagata Shinkansen;jpn.yamagata;
