systemName;route;banner;groupName;roots
jpnjrsks;AkitaShin;;Akita Shinkansen;jpn.akita
jpnjrsks;HokkaidoShin;;Hokkaido Shinkansen;jpn.hokkaido
jpnjrsks;HokurikuShin;;Hokuriku Shinkansen;jpn.hokuriku
jpnjrsks;JoetsuShin;;Joetsu Shinkansen;jpn.joetsu
jpnjrsks;JoetsuShinGala;;Joetsu Shinkansen (to Gala-Yuzawa);jpn.galayuzawa
jpnjrsks;KyushuShin;;Kyushu Shinkansen;jpn.kyushu
jpnjrsks;SanyoShin;;Sanyo Shinkansen;jpn.sanyo
jpnjrsks;TokaidoShin;;Tokaido Shinkansen;jpn.tokaido
jpnjrsks;TohokuShin;;Tohoku Shinkansen;jpn.tohoku
jpnjrsks;WestKyushuShin;;West Kyushu Shinkansen;jpn.westkyushu
jpnjrsks;YamagataShin;;Yamagata Shinkansen;jpn.yamagata
