systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnjrw;JPN;HimiLn;;;Himi Line;jpn.himi;
jpnjrw;JPN;JohanaLn;;;Johana Line;jpn.johana;
jpnjrw;JPN;KansaiLnWest;;;Kansai Line West;jpn.kansaiwest;
jpnjrw;JPN;JRKobeLn;;;JR Kobe Line;jpn.jrkobe;
jpnjrw;JPN;JRNanaoLn;;;JR Nanao Line;jpn.jrnanao;
jpnjrw;JPN;JRNaraLn;;;JR Nara Line;jpn.nara;
jpnjrw;JPN;SaganoLn;;;Sagano Line;jpn.sagano;
jpnjrw;JPN;SaninLn;;;Sanin Line;jpn.sanin;
jpnjrw;JPN;SanyoLn;;;Sanyo Line;jpn.jrsanyo;
jpnjrw;JPN;SenzakiLn;;;Sanin Senzaki Branch Line;jpn.senzaki;
jpnjrw;JPN;TakayamaLnNorth;;;Takayama Line North;jpn.takayamanorth;
jpnjrw;JPN;YamatojiLn;;;Yamatoji Line;jpn.yamatoji;
