systemName;route;banner;groupName;roots
jpnlexe;AkagiLtdShn;;Akagi Ltd Exp Shinjuku;jpn.lexakagishinjuku
jpnlexe;AkagiLtdUen;;Akagi Ltd Exp Ueno;jpn.lexakagiueno
jpnlexe;AzusaLtdChi;;Azusa Ltd Exp Chiba;jpn.lexazusachiba
jpnlexe;AzusaLtdTok;;Azusa Ltd Exp Tokyo;jpn.lexazusatokyo
jpnlexe;HitachiLtd;;Hitachi Ltd Exp;jpn.lexhitachi
jpnlexe;KinugawaLtd;;Kinugawa Ltd Exp;jpn.lexkinugawa
jpnlexe;KusatsuLtd;;Kusatsu-Shima Ltd Exp;jpn.lexkusatsushima
jpnlexe;ShinshuLtd;;Shinshu Ltd Exp;jpn.lexshinshu
jpnlexe;SpeciaNikkoLtd;;Specia Nikko Ltd Exp;jpn.lexspecianikko
jpnlexe;TokiwaLtd;;Tokiwa Ltd Exp;jpn.lextokiwa
