systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnlexh;JPN;HokutoLtd;;;Hokuto Ltd Exp;jpn.lexhokuto;
jpnlexh;JPN;KamuiLtd;;;Kamui Ltd Exp;jpn.lexkamui;
jpnlexh;JPN;LilacLtd;;;Lilac Ltd Exp;jpn.lexlilac;
jpnlexh;JPN;OkhotskLtd;;;Okhotsk Ltd Exp;jpn.lexokhotsk;
jpnlexh;JPN;OyukiLtd;;;Oyuki Ltd Exp;jpn.lexoyuki;
jpnlexh;JPN;OzoraLtd;;;Ozora Ltd Exp;jpn.lexozora;
jpnlexh;JPN;SarobetsuLtd;;;Sarobetsu Ltd Exp;jpn.lexsarobetsu;
jpnlexh;JPN;SoyaLtd;;;Soya Ltd Exp;jpn.lexsoya;
jpnlexh;JPN;SuzuranLtd;;;Suzuran Ltd Exp;jpn.lexsuzuran;
jpnlexh;JPN;TokachiLtd;;;Tokachi Ltd Exp;jpn.lextokachi;
