systemName;route;banner;groupName;roots
jpnlexh;HokutoLtd;;Hokuto Ltd Exp;jpn.lexhokuto
jpnlexh;KamuiLtd;;Kamui Ltd Exp;jpn.lexkamui
jpnlexh;LilacLtd;;Lilac Ltd Exp;jpn.lexlilac
jpnlexh;OkhotskLtd;;Okhotsk Ltd Exp;jpn.lexokhotsk
jpnlexh;OyukiLtd;;Oyuki Ltd Exp;jpn.lexoyuki
jpnlexh;OzoraLtd;;Ozora Ltd Exp;jpn.lexozora
jpnlexh;SarobetsuLtd;;Sarobetsu Ltd Exp;jpn.lexsarobetsu
jpnlexh;SoyaLtd;;Soya Ltd Exp;jpn.lexsoya
jpnlexh;SuzuranLtd;;Suzuran Ltd Exp;jpn.lexsuzuran
jpnlexh;TokachiLtd;;Tokachi Ltd Exp;jpn.lextokachi
