systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnlexk;JPN;AsoLtd;;;Aso Ltd Exp;jpn.lexaso;
jpnlexk;JPN;HuisTenBoschLtd;;;Huis Ten Bosch Ltd Exp;jpn.lexhuistenbosch;
jpnlexk;JPN;HyugaLtd;;;Hyuga Ltd Exp;jpn.lexhyuga;
jpnlexk;JPN;KaiouLtd;;;Kaiou Ltd Exp;jpn.lexkaiou;
jpnlexk;JPN;KasasagiLtd;;;Kasasagi Ltd Exp;jpn.lexkasasagi;
jpnlexk;JPN;KiramekiLtd;;;Kirameki Ltd Exp;jpn.lexkirameki;
jpnlexk;JPN;KirishimaLtd;;;Kirishima Ltd Exp;jpn.lexkirishima;
jpnlexk;JPN;MidoriLtd;;;Midori Ltd Exp;jpn.lexmidori;
jpnlexk;JPN;NichirinLtd;;;Nichirin Ltd Exp;jpn.lexnichirin;
jpnlexk;JPN;NichiSeaGAIALtd;;;Nichirin SeaGAIA Ltd Exp;jpn.lexnichiseagaia;
jpnlexk;JPN;RelayKamomeLtd;;;Relay Kamome Ltd Exp;jpn.lexrelaykamome;
jpnlexk;JPN;SonicLtd;;;Sonic Ltd Exp;jpn.lexsonic;
jpnlexk;JPN;TransKyushuLtd;;;Trans Kyushu Ltd Exp;jpn.lextranskyushu;
jpnlexk;JPN;YufuLtd;;;Yufu Ltd Exp;jpn.lexyufu;
