systemName;route;banner;groupName;roots
jpnrsbu;ChichibuLn;;Seibu Chichibu Line;jpn.sbuchichibu
jpnrsbu;HaijimaLn;;Seibu Haijima Line;jpn.sbuhaijima
jpnrsbu;IkebukuroLn;;Seibu Ikebukuro Line;jpn.sbuikebukuro
jpnrsbu;KokubunjiLn;;Seibu Kokubunji Line;jpn.sbukokubunji
jpnrsbu;SayamaLn;;Seibu Sayama Line;jpn.sbusayama
jpnrsbu;SeibuenLn;;Seibu Seibuen Line;jpn.sbuseibuen
jpnrsbu;SeibuShinjukuLn;;Seibu Shinjuku Line;jpn.sbushinjuku
jpnrsbu;TamagawaLn;;Seibu Tamagawa Line;jpn.sbutamagawa
jpnrsbu;TamakoLn;;Seibu Tamako Line;jpn.sbutamako
jpnrsbu;ToshimaLn;;Seibu Toshima Line;jpn.sbutoshima
jpnrsbu;SeibuYurakuchoLn;;Seibu Yurakucho Line;jpn.sbuyurakucho
