systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnrtbu;JPN;TobuDaishiLn;;;Tobu Daishi Line;jpn.tbudaishi;
jpnrtbu;JPN;IsesakiLn;;;Tobu Isesaki Line;jpn.tbuisesaki;
jpnrtbu;JPN;KameidoLn;;;Tobu Kameido Line;jpn.tbukameido;
jpnrtbu;JPN;KinugawaLn;;;Tobu Kinugawa Line;jpn.tbukinugawa;
jpnrtbu;JPN;KiryuLn;;;Tobu Kiryu Line;jpn.tbukiryu;
jpnrtbu;JPN;KoizumiLn;;;Tobu Koizumi Line;jpn.tbukoizumi;
jpnrtbu;JPN;KoizumiOtaLn;;;Tobu Koizumi Ota Branch Line;jpn.tbukoizumiota;
jpnrtbu;JPN;TobuNikkoLn;;;Tobu Nikko Line;jpn.tbunikko;
jpnrtbu;JPN;OgoseLn;;;Tobu Ogose Line;jpn.tbuogose;
jpnrtbu;JPN;SanoLn;;;Tobu Sano Line;jpn.tbusano;
jpnrtbu;JPN;SkytreeLn;;;Tobu Skytree Line;jpn.tbuskytree;
jpnrtbu;JPN;SkytreeLn;;O;Tobu Skytree Line (Express to Oshiage);jpn.tbuskytreeo;
jpnrtbu;JPN;TojoLn;;;Tobu Tojo Line;jpn.tbutojo;
jpnrtbu;JPN;UrbanParkLn;;;Tobu Urban Park Line;jpn.tbuurbanpark;
jpnrtbu;JPN;TobuUtsuLn;;;Tobu Utsunomiya Line;jpn.tbuutsunomiya;
jpnrtbu;JPN;TobuKegon;;;Tobu Kegon Ltd Exp;jpn.tbukegon;
