systemName;region;route;banner;abbrev;city;root;altRouteNames
jpnvsgw;JPN;AinokazeLn;;;Ainokaze Toyama RW Line;jpn.sgwainokaze;
jpnvsgw;JPN;ChizuLn;;;Chizu Express Chizu Line;jpn.sgwchizu;
jpnvsgw;JPN;HapiLnFukuiLn;;;Hapi-Line Fukui Line;jpn.sgwhapilinefukui;
jpnvsgw;JPN;HojoLn;;;Hojo RW Line;jpn.sgwhojo;
jpnvsgw;JPN;IbaraLn;;;Ibara RW Line;jpn.sgwibara;
jpnvsgw;JPN;IgaLn;;;Iga RW Line;jpn.sgwiga;
jpnvsgw;JPN;IRIshikawaLn;;;IR Ishikawa RW Line;jpn.sgwishikawa;
jpnvsgw;JPN;KishigawaLn;;;Wakayama RW Kishigawa Line;jpn.sgwkishigawa;
jpnvsgw;JPN;KishuLn;;;Kishu RW Line;jpn.sgwkishu;
jpnvsgw;JPN;KitakyuNambokuLn;;;Kitakyu Namboku Line;jpn.sgwkitakyunam;
jpnvsgw;JPN;MizumaLn;;;Mizuma RW Line;jpn.sgwmizuma;
jpnvsgw;JPN;NotoNanaoLn;;;Noto RW Nanao Line;jpn.sgwnanao;
jpnvsgw;JPN;SeiryuLn;;;Nishikigawa RW Seiryu Line;jpn.sgwseiryu;
jpnvsgw;JPN;ShigarakiLn;;;Shigaraki Kohgen RW Shigaraki Line;jpn.sgwshigaraki;
jpnvsgw;JPN;WakasaLn;;;Wakasa RW Line;jpn.sgwwakasa;
