systemName;region;route;banner;abbrev;city;root;altRouteNames
nldat;NLD;1;;Ams;Amsterdam;nld.01ams;
nldat;NLD;2;;Ams;Amsterdam;nld.02ams;
nldat;NLD;3;;Ams;Amsterdam;nld.03ams;
nldat;NLD;4;;Ams;Amsterdam;nld.04ams;
nldat;NLD;5;;Ams;Amsterdam;nld.05ams;
nldat;NLD;7;;Ams;Amsterdam;nld.07ams;
nldat;NLD;12;;Ams;Amsterdam;nld.12ams;
nldat;NLD;13;;Ams;Amsterdam;nld.13ams;
nldat;NLD;14;;Ams;Amsterdam;nld.14ams;
nldat;NLD;17;;Ams;Amsterdam;nld.17ams;
nldat;NLD;19;;Ams;Amsterdam;nld.19ams;
nldat;NLD;24;;Ams;Amsterdam;nld.24ams;
nldat;NLD;25;;Ams;Amsterdam;nld.25ams;
nldat;NLD;26;;Ams;Amsterdam;nld.26ams;
nldat;NLD;27;;Ams;Amsterdam;nld.27ams;
