systemName;region;route;banner;abbrev;city;root;altRouteNames
nldrs;NLD;RS1;;;;nld.rs01;
nldrs;NLD;RS2;;;;nld.rs02;
nldrs;NLD;RS3;;;;nld.rs03;
nldrs;NLD;RS4;;;;nld.rs04;
nldrs;NLD;RS5;;;;nld.rs05;
nldrs;NLD;RS11;;;;nld.rs11;
nldrs;NLD;RS12;;;;nld.rs12;
nldrs;NLD;RS15;;;;nld.rs15;
nldrs;NLD;RS18;;;;nld.rs18;
nldrs;NLD;RS20;;;;nld.rs20;
nldrs;NLD;RS21;;;;nld.rs21;
nldrs;NLD;RS24;;;;nld.rs24;
nldrs;NLD;RS30;;;;nld.rs30;
nldrs;NLD;RS31;;;;nld.rs31;
nldrs;NLD;RS32;;;;nld.rs32;
nldrs;NLD;RS33;;;;nld.rs33;
nldrs;NLD;RS34;;;;nld.rs34;
